depth (m),temperature (degC),temperature (degC),temperatureComposite (degC),depth (m),TOC (percent),depth (m),temperature (degC),Uk37 (missing),depth (m),CaCO3 (percent)
NA,NA,NA,NA,24.865,0.568,21.785,26.822,0.924,24.865,4.315
NA,NA,NA,NA,24.905,0.484,21.805,26.496,0.913,24.905,5.1
NA,NA,NA,NA,24.945,0.439,21.885,26.254,0.906,24.945,5.26
NA,NA,NA,NA,24.985,0.475,21.925,26.344,0.909,24.985,5.233
NA,NA,NA,NA,25.025,0.527,21.965,27.024,0.93,25.025,4.151
NA,NA,NA,NA,25.065,0.515,22.005,24.986,0.867,25.065,4.192
NA,NA,NA,NA,25.105,0.535,22.045,26.416,0.911,25.105,3.966
NA,NA,NA,NA,25.145,0.476,22.085,25.07,0.869,25.145,6.55
NA,NA,NA,NA,25.185,0.509,22.125,25.882,0.894,25.185,5.223
NA,NA,NA,NA,25.225,0.524,22.165,25.113,0.871,25.225,4.133
NA,NA,NA,NA,25.265,0.487,22.205,25.675,0.888,25.265,5.647
NA,NA,NA,NA,25.305,0.47,22.285,25.616,0.886,25.305,5.225
NA,NA,NA,NA,25.345,0.532,22.325,25.071,0.869,25.345,3.554
NA,NA,NA,NA,25.385,0.509,22.405,25.163,0.872,25.385,4.467
NA,NA,NA,NA,25.425,0.476,22.445,25.47,0.882,25.425,6.168
NA,NA,NA,NA,25.465,0.506,22.485,25.525,0.883,25.465,6.075
NA,NA,NA,NA,25.505,0.506,22.525,25.104,0.87,25.505,6.878
NA,NA,NA,NA,25.545,0.523,22.565,25.742,0.89,25.545,5.725
NA,NA,NA,NA,25.585,0.513,22.605,24.74,0.859,25.585,4.356
NA,NA,NA,NA,25.625,0.503,22.645,25.68,0.888,25.625,4.942
NA,NA,NA,NA,25.665,0.508,22.685,25.252,0.875,25.665,5.975
NA,NA,NA,NA,25.705,0.546,22.725,25.896,0.895,25.705,4.108
NA,NA,NA,NA,25.745,0.552,22.765,25.314,0.877,25.745,4.389
NA,NA,NA,NA,25.785,0.56,22.805,24.709,0.858,25.785,3.942
NA,NA,NA,NA,25.825,0.611,22.845,25.508,0.883,25.825,3.942
NA,NA,NA,NA,25.865,0.497,22.885,25.644,0.887,25.865,6.067
NA,NA,NA,NA,25.905,0.539,22.925,25.618,0.886,25.905,2.68
NA,NA,NA,NA,25.945,0.437,22.965,24.682,0.857,25.945,3.983
NA,NA,NA,NA,25.985,0.455,23.005,25.747,0.89,25.985,4.79
NA,NA,NA,NA,26.025,0.511,23.045,24.097,0.839,26.025,4.25
NA,NA,NA,NA,26.065,0.493,23.085,24.312,0.846,26.065,3.132
NA,NA,NA,NA,26.105,0.451,23.125,23.537,0.822,26.105,4.275
NA,NA,NA,NA,26.145,0.538,23.165,23.766,0.829,26.145,8.347
NA,NA,NA,NA,26.185,0.55,23.245,23.535,0.822,26.185,4.508
NA,NA,NA,NA,26.225,0.506,23.325,23.765,0.829,26.225,3.96
NA,NA,NA,NA,26.265,0.559,23.365,23.87,0.832,26.265,4.342
NA,NA,NA,NA,26.305,0.486,23.405,23.555,0.822,26.305,3.194
NA,NA,NA,NA,26.345,0.527,23.445,23.675,0.826,26.345,4.817
NA,NA,NA,NA,26.385,0.452,23.485,23.916,0.833,26.385,4.747
NA,NA,NA,NA,26.425,0.578,23.525,23.833,0.831,26.425,3.808
NA,NA,NA,NA,26.465,0.497,23.605,24.018,0.837,26.465,4.36
NA,NA,NA,NA,NA,NA,23.645,24.018,0.837,NA,NA
NA,NA,NA,NA,NA,NA,23.685,23.963,0.835,NA,NA
NA,NA,NA,NA,NA,NA,23.765,23.796,0.83,NA,NA
NA,NA,NA,NA,NA,NA,23.785,25.007,0.867,NA,NA
NA,NA,NA,NA,NA,NA,23.825,24.898,0.864,NA,NA
NA,NA,NA,NA,NA,NA,23.905,24.819,0.861,NA,NA
NA,NA,NA,NA,NA,NA,23.985,25.811,0.892,NA,NA
NA,NA,NA,NA,NA,NA,24.065,26.275,0.907,NA,NA
NA,NA,NA,NA,NA,NA,24.105,25.905,0.895,NA,NA
NA,NA,NA,NA,NA,NA,24.145,26.17,0.903,NA,NA
NA,NA,NA,NA,NA,NA,24.185,25.883,0.894,NA,NA
NA,NA,NA,NA,NA,NA,24.225,25.456,0.881,NA,NA
NA,NA,NA,NA,NA,NA,24.265,25.598,0.886,NA,NA
NA,NA,NA,NA,NA,NA,24.305,25.128,0.871,NA,NA
NA,NA,NA,NA,NA,NA,24.345,25.685,0.888,NA,NA
NA,NA,NA,NA,NA,NA,24.385,25.744,0.89,NA,NA
NA,NA,NA,NA,NA,NA,24.465,26.16,0.903,NA,NA
NA,NA,NA,NA,NA,NA,24.505,25.679,0.888,NA,NA
NA,NA,NA,NA,NA,NA,24.545,25.72,0.889,NA,NA
NA,NA,NA,NA,NA,NA,24.625,25.459,0.881,NA,NA
NA,NA,NA,NA,NA,NA,24.665,25.979,0.897,NA,NA
NA,NA,NA,NA,NA,NA,24.705,25.419,0.88,NA,NA
NA,NA,NA,NA,NA,NA,24.745,25.652,0.887,NA,NA
NA,NA,NA,NA,NA,NA,24.785,25.419,0.88,NA,NA
NA,NA,NA,NA,NA,NA,24.945,25.766,0.891,NA,NA
NA,NA,NA,NA,NA,NA,24.985,25.906,0.895,NA,NA
NA,NA,NA,NA,NA,NA,25.025,25.547,0.884,NA,NA
NA,NA,NA,NA,NA,NA,25.065,25.927,0.896,NA,NA
NA,NA,NA,NA,NA,NA,25.105,25.914,0.895,NA,NA
NA,NA,NA,NA,NA,NA,25.145,26.254,0.906,NA,NA
NA,NA,NA,NA,NA,NA,25.185,25.796,0.892,NA,NA
NA,NA,NA,NA,NA,NA,25.225,25.893,0.895,NA,NA
NA,NA,NA,NA,NA,NA,25.265,26.017,0.899,NA,NA
NA,NA,NA,NA,NA,NA,25.305,26.301,0.907,NA,NA
NA,NA,NA,NA,NA,NA,25.345,26.1,0.901,NA,NA
NA,NA,NA,NA,NA,NA,25.385,26.084,0.901,NA,NA
NA,NA,NA,NA,NA,NA,25.425,26.487,0.913,NA,NA
NA,NA,NA,NA,NA,NA,25.465,26.002,0.898,NA,NA
NA,NA,NA,NA,NA,NA,25.505,26.186,0.904,NA,NA
NA,NA,NA,NA,NA,NA,25.545,26.247,0.906,NA,NA
NA,NA,NA,NA,NA,NA,25.585,25.715,0.889,NA,NA
NA,NA,NA,NA,NA,NA,25.625,25.729,0.89,NA,NA
NA,NA,NA,NA,NA,NA,25.705,26.021,0.899,NA,NA
NA,NA,NA,NA,NA,NA,25.745,25.788,0.891,NA,NA
NA,NA,NA,NA,NA,NA,25.785,26.24,0.905,NA,NA
NA,NA,NA,NA,NA,NA,25.825,26.185,0.904,NA,NA
NA,NA,NA,NA,NA,NA,25.865,26.236,0.905,NA,NA
NA,NA,NA,NA,NA,NA,25.905,25.894,0.895,NA,NA
NA,NA,NA,NA,NA,NA,25.945,25.871,0.894,NA,NA
NA,NA,NA,NA,NA,NA,25.985,25.743,0.89,NA,NA
NA,NA,NA,NA,NA,NA,26.035,25.917,0.895,NA,NA
NA,NA,NA,NA,NA,NA,26.105,25.293,0.876,NA,NA
NA,NA,NA,NA,NA,NA,26.145,25.438,0.881,NA,NA
NA,NA,NA,NA,NA,NA,26.185,25.971,0.897,NA,NA
NA,NA,NA,NA,NA,NA,26.225,24.689,0.857,NA,NA
NA,NA,NA,NA,NA,NA,26.265,25.848,0.893,NA,NA
NA,NA,NA,NA,NA,NA,26.305,25.862,0.894,NA,NA
NA,NA,NA,NA,NA,NA,26.345,26.13,0.902,NA,NA
NA,NA,NA,NA,NA,NA,26.425,25.45,0.881,NA,NA
NA,NA,NA,NA,NA,NA,26.465,24.896,0.864,NA,NA
