depth (m),year (AD),age (BP),d18O (d18O)
350,-9195,11145,-36.89
350.2,-9211,11161,-37.38
350.4,-9226,11176,-38.47
350.58,-9241,11191,-38.33
350.8,-9258,11208,-37.6
351,-9273,11223,-36.39
351.2,-9289,11239,-37.93
351.4,-9305,11255,-38.03
351.62,-9322,11272,-37.97
351.8,-9336,11286,-35.91
351.97,-9352,11302,-37.69
352.2,-9374,11324,-36.92
352.38,-9392,11342,-36.54
352.6,-9413,11363,-37.23
352.82,-9435,11385,-37.59
353.01,-9453,11403,-37.73
353.2,-9472,11422,-36.94
353.4,-9491,11441,-37.22
353.6,-9511,11461,-37.41
353.8,-9530,11480,-37.48
354,-9549,11499,-38.1
354.2,-9569,11519,-37.39
354.4,-9588,11538,-38.27
354.6,-9608,11558,-38.06
354.8,-9627,11577,-40.1
355,-9647,11597,-36.95
355.2,-9666,11616,-38.71
355.4,-9686,11636,-38.23
355.6,-9705,11655,-38.38
355.8,-9725,11675,-39
356,-9744,11694,-38.89
356.2,-9764,11714,-37.98
356.4,-9783,11733,-38.33
356.6,-9803,11753,-38.32
356.8,-9822,11772,-37.71
357.03,-9845,11795,-37.54
357.2,-9861,11811,-38.07
357.4,-9882,11832,-38.22
357.5,-9899,11849,-39.07
358,-9984,11934,-38.42
358.2,-10018,11968,-38.2
358.4,-10052,12002,-38.17
358.5,-10069,12019,-39.05
359,-10154,12104,-38.12
359.5,-10239,12189,-38.82
359.6,-10256,12206,-38.71
359.8,-10290,12240,-39.78
360,-10324,12274,-38.91
360.2,-10358,12308,-39.55
360.4,-10392,12342,-39.77
360.58,-10423,12373,-40.58
360.8,-10460,12410,-39.9
361,-10494,12444,-39.63
361.2,-10528,12478,-39.47
361.4,-10562,12512,-38.64
361.6,-10596,12546,-38.7
361.8,-10630,12580,-39.12
362,-10664,12614,-39.3
362.2,-10698,12648,-39.49
362.4,-10732,12682,-39.45
362.6,-10766,12716,-40.01
362.8,-10800,12750,-38.8
363,-10831,12781,-38.69
363.2,-10860,12810,-38.12
363.4,-10889,12839,-39.17
363.6,-10918,12868,-39.28
363.8,-10947,12897,-41
363.97,-10972,12922,-40.54
364.2,-11005,12955,-38.43
364.4,-11034,12984,-38.71
364.6,-11063,13013,-38.75
364.78,-11089,13039,-39.3
365,-11120,13070,-39.2
365.2,-11149,13099,-39.47
365.42,-11181,13131,-38.82
365.6,-11207,13157,-38.98
365.8,-11236,13186,-38.86
365.97,-11260,13210,-39.1
366.2,-11294,13244,-38.67
366.4,-11323,13273,-39.43
366.6,-11351,13301,-38.83
366.8,-11380,13330,-38.4
366.97,-11405,13355,-38.42
367.2,-11438,13388,-39.62
367.4,-11467,13417,-38.29
367.6,-11496,13446,-38.01
367.8,-11525,13475,-39.16
368,-11554,13504,-38.32
368.2,-11583,13533,-37.89
368.4,-11611,13561,-37.26
368.6,-11654,13604,-38.61
368.76,-11689,13639,-38.41
369,-11742,13692,-36.93
369.2,-11787,13737,-37.2
369.4,-11831,13781,-38.01
369.6,-11876,13826,-38.12
369.8,-11920,13870,-38.44
370,-11965,13915,-38.64
370.2,-12009,13959,-39.08
370.4,-12053,14003,-39.64
370.6,-12098,14048,-36.66
370.84,-12151,14101,-37.03
371,-12187,14137,-38.48
371.2,-12231,14181,-38.61
371.4,-12276,14226,-37.87
371.6,-12320,14270,-38.26
371.82,-12369,14319,-38.71
372,-12409,14359,-40.44
372.2,-12453,14403,-40.33
372.4,-12498,14448,-40.79
372.6,-12542,14492,-38.88
372.8,-12587,14537,-39.11
373,-12631,14581,-39.83
373.2,-12676,14626,-40.49
373.4,-12720,14670,-39.35
373.63,-12771,14721,-39.39
373.83,-12816,14766,-40.52
374.06,-12943,14893,-42.83
374.2,-13077,15027,-41.99
374.42,-13288,15238,-43.91
374.6,-13460,15410,-42.82
374.84,-13690,15640,-43.66
375,-13844,15794,-43.95
375.2,-14036,15986,-43.92
375.4,-14227,16177,-44.65
375.6,-14419,16369,-44.42
375.8,-14611,16561,-43.45
376,-14803,16753,-42.47
376.2,-14994,16944,-41.92
376.4,-15186,17136,-43.17
376.6,-15378,17328,-44.27
376.8,-15570,17520,-43.95
377,-15761,17711,-44.4
377.2,-15953,17903,-44.76
377.4,-16145,18095,-44.55
377.6,-16337,18287,-43.77
377.8,-16528,18478,-44.08
378,-16720,18670,-42.87
378.2,-16912,18862,-42.85
378.4,-17104,19054,-42.3
378.6,-17295,19245,-42.5
378.82,-17506,19456,-43.06
379,-17679,19629,-42.77
379.2,-17871,19821,-41.94
379.4,-18062,20012,-41.57
379.58,-18249,20199,-41.67
379.8,-18491,20441,-41.85
380,-18711,20661,-41.08
380.2,-18931,20881,-42.59
380.4,-19152,21102,-41.57
380.65,-19427,21377,-41.9
380.85,-19647,21597,-41.89
381.05,-19868,21818,-41.58
381.25,-20088,22038,-42.38
381.4,-20253,22203,-41.2
381.6,-20473,22423,NA
381.8,-20694,22644,-42.84
382,-20914,22864,-43.45
382.2,-21134,23084,-42.51
382.4,-21355,23305,-42.92
382.48,-21443,23393,NA
382.5,-21465,23415,-43.55
383,-22015,23965,-43.1
383.5,-22566,24516,-42.48
384.26,-23403,25353,-42.31
384.5,-23668,25618,-41.65
384.6,-23778,25728,-41.94
384.8,-23998,25948,-43.43
385,-24218,26168,-41.36
385.2,-24397,26347,-42.81
385.5,-24662,26612,-42.97
385.6,-24751,26701,-43.27
385.8,-24927,26877,-42.15
386,-25104,27054,-42.49
386.2,-25280,27230,-43.38
386.4,-25457,27407,-42.1
386.6,-25634,27584,-41.68
386.8,-25810,27760,-41.51
387,-25987,27937,-41.36
387.2,-26163,28113,-41.39
387.5,-26428,28378,-41.43
387.95,-26825,28775,-41.75
388.5,-27311,29261,-41.41
388.6,-27399,29349,-40.67
388.8,-27576,29526,-42.21
389,-27752,29702,-42.09
389.2,-27929,29879,-42.94
389.4,-28106,30056,NA
389.6,-28282,30232,-43.19
389.8,-28459,30409,-42.58
390,-28635,30585,-42
390.2,-28812,30762,-42.01
390.42,-29006,30956,-41.86
390.6,-29150,31100,-42.11
390.8,-29279,31229,-41.06
391.04,-29434,31384,-41.35
391.2,-29538,31488,-41.89
391.4,-29667,31617,-41.19
391.6,-29796,31746,-40.81
391.8,-29925,31875,-40.97
392,-30054,32004,-40.72
392.2,-30183,32133,-41.13
392.4,-30312,32262,-41.2
392.6,-30441,32391,-42.16
392.8,-30570,32520,-40.59
393,-30699,32649,-41.27
393.2,-30828,32778,-40.85
393.4,-30957,32907,-40.27
393.6,-31086,33036,-40.45
393.78,-31202,33152,-40.56
394,-31344,33294,-41.77
394.2,-31473,33423,-41.01
394.4,-31602,33552,-41.37
394.6,-31731,33681,-41.79
394.8,-31860,33810,-41.75
395,-31989,33939,-41.66
395.2,-32118,34068,-41.51
395.4,-32247,34197,-41.14
395.6,-32376,34326,-42.42
395.8,-32505,34455,-42.3
396,-32634,34584,-41.99
396.2,-32740,34690,-42.15
396.4,-32833,34783,-41.69
396.6,-32927,34877,-42.41
396.75,-32997,34947,-41.74
397,-33114,35064,-42.38
397.2,-33208,35158,-40.94
397.5,-33348,35298,-41.1
397.6,-33395,35345,-41.05
397.83,-33502,35452,-42.17
398,-33582,35532,-42.66
398.2,-33676,35626,-41.95
398.4,-33769,35719,-41.56
398.6,-33863,35813,-40.59
398.83,-33970,35920,-41.41
399,-34050,36000,-40.48
399.18,-34134,36084,-41.55
399.4,-34237,36187,-41.77
399.5,-34284,36234,-41.03
399.65,-34354,36304,-40.26
399.8,-34424,36374,-40.99
400,-34518,36468,NA
400.03,-34532,36482,-40.95
400.5,-34752,36702,-40.42
401,-34986,36936,NA
401.03,-35000,36950,-40.09
401.18,-35070,37020,-40.93
401.4,-35173,37123,-41.2
401.8,-35327,37277,-40.73
401.98,-35382,37332,-40.18
402.2,-35449,37399,-40.73
402.4,-35510,37460,-39.38
402.6,-35572,37522,-40.16
402.75,-35617,37567,-40.12
402.9,-35663,37613,-39.93
403.27,-35777,37727,-40.22
403.5,-35847,37797,-39.49
403.65,-35893,37843,-41.67
403.8,-35939,37889,-40.11
404,-36000,37950,-39.93
404.2,-36061,38011,-40.33
404.4,-36122,38072,-40.78
404.6,-36183,38133,-40.69
404.8,-36244,38194,-41.32
405,-36306,38256,-40.28
405.2,-36367,38317,-39.3
405.4,-36428,38378,-40.56
405.58,-36483,38433,-40.22
405.8,-36550,38500,-40.62
405.97,-36602,38552,-40.37
406.2,-36673,38623,-40.53
406.4,-36734,38684,-39.93
406.6,-36795,38745,-41.51
406.8,-36856,38806,-40.44
407,-36917,38867,-41.13
407.2,-36979,38929,-40.2
407.42,-37046,38996,-40.32
407.6,-37101,39051,-40.42
407.8,-37162,39112,-41.65
407.98,-37217,39167,-40.46
408.2,-37285,39235,-40.36
408.4,-37346,39296,-40.78
408.6,-37407,39357,-40.49
409,-37529,39479,-40.55
409.5,-37682,39632,NA
410.87,-38101,40051,-41.36
411,-38141,40091,-40.96
411.2,-38202,40152,-41.88
411.4,-38264,40214,-42.63
411.6,-38325,40275,-41.63
411.8,-38386,40336,-42.05
412,-38447,40397,-41.38
412.2,-38508,40458,-42.06
412.4,-38570,40520,-40.55
412.6,-38631,40581,-41.26
412.8,-38690,40640,-41.86
413,-38750,40700,-42.55
413.2,-38809,40759,-41.2
413.4,-38868,40818,-42.02
413.6,-38927,40877,-41.46
413.82,-38993,40943,-42.28
414,-39046,40996,-41.01
414.2,-39105,41055,-41.74
414.4,-39164,41114,-41.43
414.62,-39229,41179,-42.46
414.8,-39283,41233,-42.22
415.03,-39351,41301,-42.96
415.17,-39392,41342,-41.03
415.6,-39520,41470,-42.24
415.8,-39579,41529,-42.77
416.02,-39644,41594,-41.2
416.2,-39697,41647,-43.09
416.39,-39754,41704,-41.26
416.6,-39816,41766,-42.44
416.8,-39875,41825,-42.65
417,-39934,41884,-41.31
417.2,-39993,41943,-41.91
417.5,-40082,42032,-41.05
417.6,-40112,42062,-42.42
417.82,-40177,42127,-42.21
418,-40230,42180,-41.47
418.2,-40287,42237,-43.07
418.4,-40327,42277,-41.55
418.6,-40367,42317,-42.73
419,-40448,42398,-41.99
419.5,-40548,42498,-41.72
419.6,-40568,42518,-42.34
419.8,-40608,42558,-40.73
419.98,-40644,42594,-41.46
420.25,-40699,42649,-41.32
420.4,-40729,42679,-40.39
420.6,-40769,42719,-41.57
420.8,-40809,42759,-41.68
421,-40849,42799,-41.44
421.2,-40889,42839,-40.97
421.4,-40929,42879,-41.71
421.5,-40949,42899,-41.32
421.8,-41010,42960,-42.33
422.02,-41054,43004,-42.21
422.17,-41084,43034,-42.44
422.4,-41130,43080,-40.06
422.6,-41170,43120,NA
423.66,-41383,43333,-41.72
423.8,-41410,43360,-42.19
424,-41447,43397,-42.13
424.5,-41539,43489,-42.12
425.03,-41638,43588,-41.91
425.2,-41669,43619,-42.07
425.4,-41706,43656,-41
425.55,-41734,43684,-41.8
427.04,-42011,43961,-40.29
427.54,-42103,44053,-39.93
428.27,-42239,44189,-40.45
428.54,-42289,44239,-40.64
429.53,-42490,44440,-42.4
429.65,-42519,44469,-41.05
429.8,-42556,44506,-42.04
430,-42604,44554,-40.21
430.2,-42653,44603,-41.3
430.4,-42702,44652,-42.64
430.6,-42751,44701,-42.75
430.8,-42799,44749,-42.56
431,-42848,44798,-41.2
431.2,-42897,44847,-41.72
431.4,-42945,44895,-41.25
431.6,-42994,44944,-41.45
431.81,-43045,44995,-41.44
432,-43091,45041,-41.06
432.2,-43140,45090,-41.16
432.4,-43189,45139,-40.9
432.65,-43250,45200,-41.09
432.8,-43286,45236,-41.55
433,-43335,45285,-39.96
433.5,-43457,45407,-41.39
433.67,-43498,45448,-40.24
433.78,-43525,45475,-39.56
434.03,-43586,45536,-40.24
434.2,-43627,45577,-39.6
434.4,-43676,45626,-39.56
434.7,-43749,45699,-38.81
434.8,-43775,45725,-40
435,-43833,45783,-39.9
435.2,-43891,45841,-39.85
435.4,-43949,45899,-39.19
435.6,-44007,45957,-38.74
435.8,-44064,46014,-38.53
436,-44122,46072,-39.18
436.18,-44174,46124,-39.24
436.38,-44232,46182,-38.61
436.6,-44296,46246,-38.98
436.8,-44353,46303,-38.96
437,-44411,46361,-39.41
437.2,-44469,46419,-38.93
437.4,-44527,46477,-37.17
437.6,-44585,46535,-38.83
437.8,-44642,46592,-39.08
438,-44700,46650,-39.67
438.2,-44758,46708,-38.48
438.4,-44816,46766,-38.45
438.6,-44874,46824,-39.63
438.8,-44931,46881,-39.1
439,-44989,46939,-40.03
439.2,-45047,46997,-38.97
439.4,-45105,47055,-39.06
439.6,-45163,47113,-39.79
439.8,-45220,47170,-39.66
440,-45278,47228,-40.19
440.2,-45336,47286,-39.63
440.4,-45398,47348,-38.9
440.6,-45463,47413,-39.2
440.8,-45528,47478,-39.61
441,-45593,47543,-39.2
441.2,-45658,47608,-39.42
441.4,-45723,47673,-39.72
441.6,-45788,47738,-39.02
441.78,-45846,47796,-39.43
442.02,-45924,47874,-39.39
442.2,-45983,47933,-40.81
442.4,-46048,47998,-40.21
442.65,-46129,48079,-40.16
442.8,-46178,48128,-40.11
443,-46243,48193,-41.69
443.22,-46314,48264,-41.46
443.4,-46373,48323,-41.29
443.6,-46438,48388,-42.19
443.8,-46503,48453,-42.07
444,-46568,48518,-42.17
444.2,-46633,48583,-40.63
444.4,-46698,48648,-40.6
444.6,-46763,48713,-40.35
444.82,-46834,48784,-40.21
445,-46893,48843,-39.66
445.18,-46951,48901,-40.79
445.43,-47032,48982,-40.6
445.6,-47088,49038,-41.32
445.8,-47153,49103,-41.18
446,-47233,49183,-41.09
446.2,-47315,49265,-41.25
446.4,-47396,49346,-40.72
446.6,-47478,49428,-40.69
446.8,-47559,49509,-41.3
447,-47640,49590,-40.89
447.2,-47722,49672,-40.66
447.4,-47803,49753,-40.08
447.6,-47885,49835,-41.08
447.77,-47954,49904,-40.81
448,-48048,49998,-39.41
448.2,-48129,50079,-40.02
448.4,-48211,50161,-40.15
448.6,-48292,50242,-38.99
448.8,-48374,50324,-39.49
449,-48455,50405,-39.55
449.2,-48537,50487,-39.79
449.4,-48618,50568,-40.61
449.6,-48700,50650,-39.88
449.8,-48781,50731,-39.66
450.02,-48871,50821,-39.99
450.2,-48944,50894,-39.99
450.4,-49025,50975,-39.47
450.6,-49107,51057,-40.07
450.8,-49188,51138,-39.7
451,-49270,51220,-40.47
451.2,-49351,51301,-39.83
451.42,-49452,51402,NA
451.6,-49550,51500,-40.28
451.8,-49659,51609,-39.54
452,-49768,51718,-39.82
452.18,-49866,51816,-39.48
452.4,-49986,51936,-38.34
452.6,-50095,52045,-39.26
452.8,-50204,52154,-38.99
453,-50314,52264,NA
453.2,-50423,52373,-39.51
453.4,-50532,52482,-39.18
453.6,-50641,52591,-38.94
453.8,-50750,52700,-39.33
454,-50859,52809,-39.7
454.2,-50968,52918,-39.85
454.4,-51077,53027,-40.33
454.6,-51186,53136,-40.41
454.8,-51295,53245,-40.48
455,-51404,53354,-39.99
455.2,-51513,53463,-39.39
455.42,-51633,53583,-40.16
455.6,-51731,53681,-40.04
455.8,-51840,53790,-40.29
456,-51949,53899,-41.04
456.2,-52058,54008,-41.48
456.37,-52151,54101,-41.97
456.6,-52276,54226,-41.5
456.8,-52385,54335,-41.72
457,-52499,54449,-41.16
457.2,-52616,54566,-39.88
457.4,-52732,54682,-39.72
457.6,-52848,54798,-39.63
457.8,-52965,54915,-39.51
458,-53081,55031,-40.17
458.2,-53197,55147,-39.7
458.4,-53314,55264,-39.92
458.6,-53430,55380,NA
458.8,-53546,55496,-39.95
459,-53663,55613,-39.94
459.2,-53779,55729,-39.58
459.38,-53884,55834,-39.55
459.6,-54012,55962,-39.92
459.8,-54128,56078,-39.66
460,-54244,56194,-39.67
460.2,-54361,56311,-38.53
460.37,-54460,56410,-40.36
460.6,-54593,56543,-39.81
460.8,-54710,56660,-39.39
461.2,-54942,56892,-39.03
461.4,-55059,57009,-39.27
461.6,-55175,57125,-39.75
461.78,-55280,57230,-39.79
462,-55408,57358,-39.21
462.18,-55513,57463,-39.11
462.4,-55640,57590,-39.83
462.61,-55754,57704,-40.07
462.8,-55857,57807,-40.03
463,-55965,57915,-40.59
463.2,-56074,58024,-40.49
463.4,-56182,58132,-40.08
463.6,-56291,58241,-40.14
463.8,-56399,58349,-40.83
464,-56507,58457,-40.79
464.2,-56616,58566,-40.36
464.5,-56778,58728,-40.66
464.65,-56860,58810,-40.9
464.8,-56941,58891,-41.01
465,-57049,58999,-41.34
465.22,-57168,59118,-41.55
465.4,-57266,59216,-41.33
465.6,-57374,59324,-41.49
465.8,-57483,59433,-41.19
466,-57591,59541,-42.14
466.2,-57700,59650,-42.47
466.43,-57824,59774,-42.81
466.6,-57916,59866,-42.39
466.8,-58025,59975,-42.78
467,-58133,60083,-42.82
467.2,-58242,60192,-42.08
467.48,-58393,60343,-42.49
467.6,-58458,60408,-43
467.8,-58567,60517,-42.3
468,-58674,60624,-42.31
468.2,-58781,60731,-41.38
468.43,-58903,60853,-41.45
468.6,-58993,60943,-42.47
468.8,-59100,61050,-41.84
468.98,-59196,61146,-42.03
469.18,-59302,61252,-42.55
469.43,-59435,61385,-42.71
469.6,-59525,61475,-43.11
469.8,-59632,61582,-43.05
470.01,-59743,61693,-42.18
470.22,-59855,61805,-42.43
470.47,-59988,61938,-43.11
470.6,-60057,62007,-42.31
470.8,-60164,62114,-42.1
471,-60270,62220,-41.9
471.23,-60392,62342,-43.26
471.51,-60541,62491,-40.77
471.6,-60589,62539,-42.27
471.8,-60696,62646,-43.07
472,-60802,62752,-43.4
472.2,-60908,62858,-43.48
472.4,-61015,62965,-45.03
472.6,-61121,63071,-42.9
472.8,-61227,63177,-43.47
473,-61334,63284,-42.44
473.2,-61440,63390,-43.19
473.4,-61547,63497,-43.81
473.6,-61658,63608,-42.77
473.8,-61770,63720,-43.43
474,-61883,63833,-42.59
474.2,-61995,63945,-43.22
474.4,-62108,64058,-43.21
474.63,-62237,64187,-42.71
474.8,-62333,64283,-43.27
475.03,-62463,64413,-42.93
475.2,-62558,64508,-43.94
475.4,-62671,64621,-43.55
475.6,-62784,64734,-43.32
475.8,-62896,64846,-44.1
476,-63009,64959,-45.04
476.2,-63121,65071,-44.45
476.4,-63234,65184,-43.74
476.8,-63459,65409,-43.51
477,-63572,65522,-43.24
477.2,-63684,65634,-45.03
477.4,-63797,65747,-43.31
477.6,-63909,65859,-43.07
477.9,-64078,66028,-43.42
478,-64135,66085,-44.21
478.2,-64247,66197,-42.98
478.4,-64360,66310,-43.76
478.6,-64472,66422,-43.16
478.8,-64585,66535,-42.79
479,-64699,66649,-42.66
479.2,-64828,66778,-43.37
479.4,-64957,66907,-42.79
479.6,-65086,67036,-43.87
479.8,-65214,67164,-43.78
480,-65343,67293,-43.7
480.2,-65472,67422,-44.11
480.5,-65665,67615,-43.57
480.6,-65729,67679,-43.34
480.8,-65858,67808,-43.85
481,-65987,67937,-42.82
481.3,-66180,68130,-42.06
481.5,-66309,68259,-42.05
481.6,-66373,68323,-42.35
481.8,-66502,68452,-42.57
482,-66631,68581,-41.79
482.22,-66772,68722,-41.34
482.4,-66888,68838,-41.28
482.64,-67043,68993,-41.86
482.77,-67126,69076,-41.1
482.97,-67255,69205,-41.27
483.2,-67403,69353,-41.33
483.4,-67532,69482,-40.54
483.6,-67660,69610,-41.3
483.8,-67789,69739,-41.19
484,-67918,69868,-40.89
484.35,-68143,70093,-40.53
484.48,-68227,70177,-40.67
484.6,-68315,70265,-40.65
484.8,-68465,70415,-41.01
485,-68615,70565,-41.78
485.2,-68766,70716,-41.35
485.4,-68916,70866,-40.92
485.6,-69067,71017,-42.07
485.8,-69217,71167,-41.38
486,-69368,71318,-40.99
486.2,-69518,71468,-41.9
486.4,-69668,71618,-41.43
486.6,-69819,71769,-42.33
486.8,-69969,71919,-41.96
487,-70120,72070,-42.05
487.18,-70255,72205,-43.04
487.4,-70420,72370,-43.16
487.6,-70571,72521,-42.43
487.8,-70721,72671,-42.55
488,-70872,72822,-41.85
488.18,-71007,72957,-42.7
488.47,-71225,73175,-41.86
488.55,-71285,73235,-42.38
488.82,-71488,73438,-41.75
489,-71624,73574,-41.27
489.22,-71789,73739,-41.69
489.4,-71924,73874,-41.22
489.43,-71947,73897,-41.15
489.6,-72075,74025,-41.26
489.82,-72240,74190,-41.34
490,-72376,74326,-41.38
490.19,-72531,74481,-40.49
490.39,-72696,74646,-40.71
490.6,-72870,74820,-40.62
490.8,-73036,74986,-39.52
491.03,-73226,75176,-40.99
491.2,-73367,75317,-40.99
491.39,-73524,75474,-40.46
491.6,-73698,75648,-40.67
491.8,-73863,75813,-40.5
492,-74029,75979,-40.75
492.2,-74195,76145,-41
492.39,-74352,76302,-41.16
492.6,-74526,76476,-40.91
492.8,-74691,76641,-41.06
493,-74857,76807,-42.09
493.2,-75022,76972,-42.1
493.39,-75180,77130,-43.02
493.6,-75353,77303,-42.2
493.8,-75519,77469,-41.86
494,-75685,77635,-42.32
494.2,-75850,77800,-41.84
494.4,-76016,77966,-42.5
494.6,-76181,78131,-42.5
494.8,-76347,78297,-42.02
495,-76512,78462,-41.02
495.2,-76678,78628,-41.29
495.33,-76786,78736,-41.49
495.6,-77012,78962,-41.58
495.8,-77190,79140,-42.03
496,-77368,79318,-42.08
496.22,-77565,79515,-41.53
496.43,-77752,79702,-41.73
496.65,-77948,79898,-41.23
496.8,-78082,80032,-41.91
497,-78260,80210,-40.74
497.23,-78465,80415,-41.44
497.54,-78741,80691,-40.82
497.65,-78839,80789,-41.34
497.8,-78973,80923,-41.14
497.98,-79133,81083,-40.78
498.23,-79356,81306,-40.51
498.4,-79508,81458,-40.91
498.58,-79668,81618,-40.55
498.83,-79891,81841,-41.14
499,-80043,81993,-40.49
499.29,-80301,82251,-40.62
499.43,-80426,82376,-40.28
499.6,-80577,82527,-40.31
499.8,-80756,82706,-40.11
499.99,-80925,82875,-40.37
500.2,-81112,83062,-40.12
500.4,-81291,83241,-39.8
500.6,-81469,83419,-40.12
500.8,-81647,83597,-39.61
501,-81825,83775,-39.52
501.28,-82090,84040,-39.74
501.4,-82206,84156,-39.61
501.6,-82400,84350,-39.34
501.8,-82593,84543,-39.08
502,-82787,84737,-38.76
502.2,-82981,84931,-39.45
502.4,-83174,85124,-38.71
502.6,-83368,85318,-38.47
502.8,-83562,85512,-38.49
503,-83755,85705,-38.66
503.2,-83949,85899,-38.72
503.4,-84143,86093,-38.91
503.63,-84365,86315,-39.1
503.8,-84530,86480,-39.42
504,-84723,86673,-39.21
504.2,-84917,86867,-39.41
504.42,-85130,87080,-39.16
504.61,-85314,87264,-39.43
504.8,-85498,87448,-39.54
505,-85692,87642,-39.58
505.2,-85885,87835,-39.86
505.4,-86079,88029,-40.06
505.6,-86272,88222,-40.53
505.77,-86437,88387,-39.89
506,-86660,88610,-40
506.12,-86776,88726,-40.34
506.65,-87294,89244,-39.61
506.8,-87461,89411,-40.3
507,-87682,89632,-40.39
507.21,-87915,89865,-40.83
507.38,-88103,90053,-41.12
507.6,-88347,90297,-40.97
507.79,-88558,90508,-41.79
508.01,-88802,90752,-41.75
508.2,-89012,90962,NA
508.21,-89023,90973,-41.56
508.71,-89577,91527,-40.93
509.21,-90131,92081,-40.2
510,-91007,92957,-40.81
510.25,-91284,93234,-40.2
510.4,-91450,93400,-40.13
510.6,-91672,93622,-39.88
510.84,-91938,93888,-39.93
511,-92115,94065,-40.1
511.2,-92337,94287,-39.91
511.4,-92558,94508,-39.56
511.6,-92780,94730,-39.36
511.8,-93002,94952,-39.75
512,-93223,95173,-39.55
512.19,-93445,95395,-39.16
512.4,-93724,95674,-38.97
512.6,-93989,95939,-38.78
512.8,-94255,96205,-38.79
513,-94520,96470,-39.17
513.2,-94786,96736,-39.56
513.35,-94985,96935,-38.68
513.6,-95317,97267,-38.36
513.8,-95582,97532,-38.45
514,-95848,97798,-38.42
514.2,-96114,98064,-38.98
514.4,-96379,98329,-38.81
514.65,-96711,98661,-39.23
514.8,-96910,98860,-38.99
515,-97176,99126,-39.04
515.2,-97441,99391,-39.02
515.4,-97707,99657,-38.69
515.63,-98012,99962,-38.75
515.8,-98240,100190,-39.29
516,-98500,100450,-39.1
516.2,-98770,100720,-39.46
516.4,-99030,100980,-39.5
516.61,-99310,101260,-39.74
516.8,-99570,101520,-40
517,-99830,101780,-39.81
517.22,-100120,102070,-39.54
517.4,-100360,102310,-39.95
517.6,-100630,102580,-39.9
517.8,-100920,102870,-39.23
518,-101220,103170,-39.89
518.2,-101530,103480,-39.81
518.4,-101830,103780,-40.48
518.6,-102130,104080,-41.08
518.81,-102450,104400,-41.72
519,-102740,104690,-41.27
519.21,-103060,105010,-41.46
519.43,-103390,105340,-41.35
519.58,-103620,105570,-40.83
519.77,-103910,105860,NA
520.28,-104690,106640,-41.83
520.4,-104870,106820,-40.77
520.6,-105170,107120,-40.62
520.83,-105520,107470,-40.83
521.02,-105810,107760,-41.66
521.2,-106080,108030,-41.33
521.4,-106390,108340,-41.98
521.6,-106690,108640,-42.53
521.82,-107020,108970,-42.42
522,-107300,109250,-43.13
522.28,-107720,109670,-42.21
522.88,-108630,110580,-42.84
523.28,-109340,111290,-43.29
523.4,-109650,111600,-42.77
523.6,-110170,112120,-42.33
523.8,-110690,112640,-42.29
524,-111210,113160,-42.04
524.2,-111730,113680,-41.62
524.4,-112260,114210,-41.68
524.78,-113250,115200,-40.82
525.28,-114550,116500,-40.4
525.4,-114860,116810,-40.52
525.6,-115380,117330,-40.02
525.75,-115780,117730,-39.54
525.9,-116170,118120,-39.4
526.2,-116950,118900,-38.35
526.28,-117160,119110,-38.98
526.4,-117470,119420,-38.78
526.6,-117990,119940,-38.87
526.82,-118570,120520,-38.39
526.98,-118980,120930,-38.76
527.2,-119560,121510,-38.81
527.4,-120080,122030,-38.51
527.6,-120600,122550,-38.52
527.8,-121120,123070,-38.33
528,-121640,123590,-38.07
528.2,-122160,124110,-38.23
528.33,-122500,124450,-38.2
528.83,-124030,125980,-38.19
529.39,-126640,128590,-38.17
529.63,-127760,129710,-38.44
529.8,-128550,130500,-37.92
530,-129480,131430,-37.58
530.2,-130410,132360,-36.8
530.37,-131200,133150,-35.77
530.58,-132180,134130,-36.15
530.8,-133200,135150,-38.52
530.98,-134040,135990,-41.47
531.4,-136000,137950,-41.71
531.62,-137020,138970,-41.16
531.8,-137860,139810,-42.27
531.99,-138740,140690,-43.1
532.2,-139720,141670,-43.33
532.4,-140650,142600,-42.83
532.6,-141580,143530,-41.62
532.8,-142520,144470,-40.33
533.03,-143590,145540,-41.4
533.2,-144380,146330,-42.07
533.42,-145400,147350,-43
533.62,-146330,148280,-42.07
533.82,-147260,149210,-41.87
534,-148100,150050,-42.53
534.2,-149030,150980,-42.69
534.45,-150200,152150,-41.81
534.6,-150900,152850,-41.53
534.83,-151970,153920,-40.93
535,-152760,154710,-40.59
536.25,-158580,160530,-39.07
536.4,-159280,161230,-39.84
536.63,-160350,162300,-39.86
536.81,-161190,163140,-40.11
537.01,-162120,164070,-40.39
537.23,-163150,165100,-40.77
537.41,-163990,165940,-41.15
537.6,-164870,166820,-40.86
537.79,-165760,167710,-40.37
538,-166730,168680,-39.79
538.2,-167670,169620,-39.13
538.39,-168550,170500,-38.38
538.6,-169530,171480,-38.01
538.8,-170460,172410,-38.53
538.98,-171300,173250,-40.25
539.2,-172320,174270,-41.07
539.43,-173400,175350,-42.04
539.6,-174190,176140,-42.7
539.82,-175210,177160,-40.79
539.99,-176000,177950,-40.67
540.2,-176980,178930,-39.29
540.38,-177820,179770,-37.16
540.6,-178840,180790,-39.4
540.8,-179770,181720,-42.2
541,-180710,182660,-43.08
541.3,-182100,184050,-41.44
541.58,-183410,185360,-40.54
