depth (m),age (BP),temperature (degC),Bag (missing),dD (permil)
2417.25,282423.05,-6.39,4396,-428.9
2417.8,282612.26,-6.55,4397,-429.9
2418.35,282803.89,-6.18,4398,-427.7
2418.9,282990.05,-6.31,4399,-428.5
2419.45,283177.98,-5.95,4400,-426.3
2420,283360.29,-5.98,4401,-426.5
2420.55,283542.88,-5.85,4402,-425.7
2421.1,283723.29,-5.67,4403,-424.6
2421.65,283901.57,-6.21,4404,-427.9
2422.2,284088.27,-5.97,4405,-426.4
2422.75,284271.02,-5.69,4406,-424.7
2423.3,284449.69,-5.66,4407,-424.5
2423.85,284627.88,-5.83,4408,-425.5
2424.4,284808.69,-5.71,4409,-424.8
2424.95,284988.61,-5.71,4410,-424.75
2425.5,285167.6,-6.61,4411,-430.2
2426.05,285360.68,-5.28,4412,-422.1
2426.6,285534.64,-5.55,4413,-423.7
2427.15,285713.31,-5.35,4414,-422.5
2427.7,285889.51,-5.77,4415,-425
2428.25,286069.99,-5.17,4416,-421.3
2428.8,286241.2,-5.24,4417,-421.7
2429.35,286413.07,-5,4418,-420.2
2429.9,286580.31,-5.27,4419,-421.8
2430.45,286749.74,-5.61,4420,-423.8
2431,286927.21,-4.9,4421,-419.5
2431.55,287094.25,-5.56,4422,-423.4
2432.1,287268.46,-5.35,4423,-422.1
2432.65,287443.68,-4.99,4424,-419.9
2433.2,287613.14,-4.9,4425,-419.3
2433.75,287781.25,-5.02,4426,-420
2434.3,287948.28,-4.57,4427,-417.2
2434.85,288110.84,-4.69,4428,-417.9
2435.4,288266.59,-5,4429,-419.7
2435.95,288426.05,-4.79,4430,-418.4
2436.5,288595.9,-5.15,4431,-420.5
2437.05,288766.95,-4.77,4432,-418.2
2437.6,288928.37,-5.06,4433,-419.9
2438.15,289101.72,-5.21,4434,-420.8
2438.7,289264.2,-5.01,4435,-419.5
2439.25,289431.57,-4.97,4436,-419.2
2439.8,289599.15,-4.99,4437,-419.3
2440.35,289761.54,-4.31,4438,-415.1
2440.9,289917.77,-4.07,4439,-413.6
2441.45,290067.29,-3.83,4440,-412.1
2442,290220.29,-3.84,4441,-412.1
2442.55,290374.15,-4.33,4442,-415
2443.1,290534.46,-4.57,4443,-416.4
2443.65,290698.48,-4.4,4444,-415.3
2444.2,290856.65,-4.97,4445,-418.7
2444.75,291017.75,-5.12,4446,-419.6
2445.3,291180.89,-5.31,4447,-420.7
2445.85,291357.5,-5.73,4448,-423.2
2446.4,291541.03,-6.43,4449,-427.4
2446.95,291726.55,-5.41,4450,-421.2
2447.5,291906,-5.72,4451,-423.1
2448.05,292090.06,-6.17,4452,-425.8
2448.6,292282.78,-6.7,4453,-429
2449.15,292485.03,-6.29,4454,-426.5
2449.7,292680.44,-6.41,4455,-427.25
2450.25,292879.37,-6.14,4456,-425.6
2450.8,293073.33,-6.98,4457,-430.7
2451.35,293281.38,-7.27,4458,-432.4
2451.9,293485.91,-7.76,4459,-435.4
2452.45,293711.08,-7.58,4460,-434.3
2453,293933.03,-7.14,4461,-431.7
2453.55,294146.17,-6.4,4462,-427.2
2454.1,294346.3,-7.53,4463,-434.1
2454.65,294567.6,-7.63,4464,-434.7
2455.2,294791.7,-8.07,4465,-437.4
2455.75,295018.41,-7.62,4466,-434.7
2456.3,295242.95,-7.22,4467,-432.3
2456.85,295454.28,-7.2,4468,-432.2
2457.4,295669.87,-6.68,4469,-429.1
2457.95,295876.34,-6.17,4470,-426
2458.5,296072.25,-4.93,4471,-418.5
2459.05,296249.22,-5.66,4472,-422.9
2459.6,296436.47,-5.87,4473,-424.16
2460.15,296630.28,-6.37,4474,-427.2
2460.7,296831.47,-6.95,4475,-430.78
2461.25,297040.44,-7.05,4476,-431.4
2461.8,297258.27,-7.38,4477,-433.4
2462.35,297480.14,-8.03,4478,-437.4
2462.9,297694.88,-7.35,4479,-433.3
2463.45,297896.07,-7.81,4480,-436.1
2464,298127.79,-7.6,4481,-434.9
2464.55,298356.37,-7.15,4482,-432.2
2465.1,298576.29,-7.24,4483,-432.79
2465.65,298790.11,-6.68,4484,-429.4
2466.2,299000.82,-6.54,4485,-428.6
2466.75,299209.16,-6.37,4486,-427.6
2467.3,299415.07,-6.63,4487,-429.2
2467.85,299625.56,-6.57,4488,-428.9
2468.4,299835.55,-5.99,4489,-425.4
2468.95,300034.88,-5.87,4490,-424.7
2469.5,300232.01,-5.57,4491,-422.9
2470.05,300423.76,-4.91,4492,-418.9
2470.6,300608.97,-5.93,4493,-425.1
2471.15,300807.78,-6.31,4494,-427.4
2471.7,301014.6,-6.57,4495,-429
2472.25,301227.24,-7.14,4496,-432.5
2472.8,301451.09,-7.69,4497,-435.9
2473.35,301667.68,-7.06,4498,-432.1
2473.9,301891.18,-7.07,4499,-432.2
2474.45,302115.68,-7.01,4500,-431.9
2475,302339.47,-5.94,4501,-425.5
2475.55,302542.33,-6.23,4502,-427.3
2476.1,302751.11,-6.39,4503,-428.3
2476.65,302962.9,-6.12,4504,-426.7
2477.2,303169.97,-5.68,4505,-424.1
2477.75,303369.16,-5.25,4506,-421.5
2478.3,303561.78,-5.82,4507,-425
2478.85,303762.67,-4.73,4508,-418.45
2479.4,303953.5,-5.42,4509,-422.7
2479.95,304148.18,-5.1,4510,-420.8
2480.5,304328.85,-5.39,4511,-422.6
2481.05,304523.63,-5.2,4512,-421.5
2481.6,304716.08,-4.85,4513,-419.39
2482.15,304906.12,-5.27,4514,-422
2482.7,305099.64,-4.67,4515,-418.4
2483.25,305283.54,-3.95,4516,-414.1
2483.8,305456.18,-4.25,4517,-415.9
2484.35,305633.07,-4.57,4518,-417.9
2484.9,305816.71,-5.42,4519,-423.1
2485.45,306014.02,-5.28,4520,-422.3
2486,306210.61,-5.47,4521,-423.5
2486.55,306410.01,-5.06,4522,-421.1
2487.1,306603.78,-5.8,4523,-425.65
2487.65,306807.03,-6.66,4524,-430.9
2488.2,307031.36,-7.59,4525,-436.6
2488.75,307269.4,-6.99,4526,-433.1
2489.3,307490.66,-6.79,4527,-432
2489.85,307719.83,-6.56,4528,-430.7
2490.4,307945.11,-6.38,4529,-429.7
2490.95,308166.68,-6.02,4530,-427.6
2491.5,308381.81,-5.53,4531,-424.7
2492.05,308587.87,-6.12,4532,-428.3
2492.6,308805.43,-5.76,4533,-426.2
2493.15,309016.64,-5.33,4534,-423.7
2493.7,309222.65,-5.7,4535,-426
2494.25,309433.64,-5.84,4536,-426.9
2494.8,309648.54,-6.36,4537,-430.1
2495.35,309873.24,-5.44,4538,-424.6
2495.9,310082.09,-5.77,4539,-426.7
2496.45,310296.78,-5.4,4540,-424.5
2497,310505.9,-5.97,4541,-428
2497.55,310725.01,-5.21,4542,-423.5
2498.1,310931.36,-5.19,4543,-423.47
2498.65,311133.24,-5.41,4544,-424.88
2499.2,311337.16,-5.51,4545,-425.5
2499.75,311542.25,-5.33,4546,-424.5
2500.3,311755.38,-4.92,4547,-422.11
2500.85,311954.26,-5.11,4548,-423.3
2501.4,312160.32,-4.43,4549,-419.3
2501.95,312356.49,-4.76,4550,-421.3
2502.5,312558.13,-5.11,4551,-423.5
2503.05,312765.49,-4.05,4552,-417.2
2503.6,312956.28,-4.03,4553,-417.1
2504.15,313146.1,-4.4,4554,-419.4
2504.7,313342.5,-3.43,4555,-413.6
2505.25,313523.2,-3.9,4556,-416.5
2505.8,313710.11,-2.85,4557,-410.2
2506.35,313882.82,-3.8,4558,-416
2506.9,314069.55,-3.46,4559,-414
2507.45,314251.7,-3.22,4560,-412.6
2508,314430.46,-3.67,4561,-415.4
2508.55,314616.07,-3.23,4562,-412.8
2509.1,314795.55,-2.84,4563,-410.5
2509.65,314968.27,-2.5,4564,-408.5
2510.2,315135.51,-3.62,4565,-415.3
2510.75,315322.42,-3.84,4566,-416.7
2511.3,315511.58,-2.28,4567,-407.3
2511.85,315678.87,-2.6,4568,-409.3
2512.4,315848.82,-2.05,4569,-406
2512.95,316010.85,-1.61,4570,-403.4
2513.5,316166.46,-1.27,4571,-401.4
2514.05,316316.88,-2.69,4572,-410
2514.6,316487.97,-2.99,4573,-411.9
2515.15,316666.26,-2.95,4574,-411.7
2515.7,316844.27,-3.12,4575,-412.8
2516.25,317025.35,-3.2,4576,-413.4
2516.8,317208.57,-3.57,4577,-415.7
2517.35,317397.76,-3.44,4578,-415
2517.9,317585.63,-3.65,4579,-416.4
2518.45,317777.23,-3.29,4580,-414.3
2519,317963.77,-3.6,4581,-416.3
2519.55,318155.88,-4.22,4582,-420.1
2520.1,318359.23,-4.41,4583,-421.4
2520.65,318568.14,-5.3,4584,-426.9
2521.2,318793.79,-4.57,4585,-422.6
2521.75,319006.2,-4.41,4586,-421.8
2522.3,319216.05,-4.37,4587,-421.7
2522.85,319425.71,-4.45,4588,-422.3
2523.4,319637.28,-4.41,4589,-422.2
2523.95,319848.44,-4.03,4590,-420
2524.5,320052.87,-3.81,4591,-418.8
2525.05,320254.1,-4.24,4592,-421.5
2525.6,320462.08,-3.39,4593,-416.5
2526.15,320656.52,-3.14,4594,-415.1
2526.7,320846.25,-2.98,4595,-414.2
2527.25,321033.41,-3.08,4596,-414.9
2527.8,321221.52,-2.08,4597,-409
2528.35,321395.54,-2.9,4598,-414
2528.9,321581.44,-2.37,4599,-410.9
2529.45,321759.7,-2.44,4600,-411.4
2530,321938.93,-2.24,4601,-410.3
2530.55,322114.94,-1.93,4602,-408.5
2531.1,322286.78,-1.92,4603,-408.5
2531.65,322457.73,-1.35,4604,-405.1
2532.2,322621.25,-1.52,4605,-406.2
2532.75,322786.75,-1.88,4606,-408.4
2533.3,322957.5,-1.21,4607,-404.4
2533.85,323119.3,-1.13,4608,-404
2534.4,323279.45,-0.93,4609,-402.8
2534.95,323436.81,-0.76,4610,-401.8
2535.5,323591.92,-1.4,4611,-405.7
2536.05,323755.46,-0.43,4612,-399.9
2536.6,323907.35,-0.84,4613,-402.4
2537.15,324062.84,-0.34,4614,-399.4
2537.7,324212.22,0.13,4615,-396.6
2538.25,324355.82,0.08,4616,-396.9
2538.8,324499.71,-0.23,4617,-398.8
2539.35,324647.82,-0.56,4618,-400.8
2539.9,324800.14,-0.16,4619,-398.4
2540.45,324947.8,-0.24,4620,-398.9
2541,325096.07,-0.08,4621,-397.9
2541.55,325242.26,0.19,4622,-396.3
2542.1,325384.96,-0.55,4623,-400.8
2542.65,325528.53,0.44,4624,-394.8
2543.2,325667.58,0.85,4625,-392.3
2543.75,325802.11,0.72,4626,-393.1
2544.3,325937.51,1.31,4627,-389.5
2544.85,326066.71,0.56,4628,-394
2545.4,326203.29,0.57,4629,-393.9
2545.95,326340.6,0.31,4630,-395.5
2546.5,326479.92,0.57,4631,-393.9
2547.05,326616.86,0.61,4632,-393.6
2547.6,326749.74,0.43,4633,-394.7
2548.15,326887.34,0.16,4634,-396.3
2548.7,327025.29,0.7,4635,-393
2549.25,327160.59,0.39,4636,-394.8
2549.8,327297.94,0.46,4637,-394.4
2550.35,327432.23,0.41,4638,-394.6
2550.9,327560.26,1.04,4639,-390.8
2551.45,327685.37,1.19,4640,-389.8
2552,327818.33,0.57,4641,-393.5
2552.55,327948.76,0.79,4642,-392.1
2553.1,328083.02,0.7,4643,-392.6
2553.65,328216.6,0.8,4644,-392
2554.2,328350.88,0.66,4645,-392.8
2554.75,328477.41,1.36,4646,-388.5
2555.3,328603.75,1.36,4647,-388.4
2555.85,328732.71,1.11,4648,-389.9
2556.4,328863.77,1,4649,-390.5
2556.95,329000.97,0.41,4650,-394
2557.5,329141.1,0.2,4651,-395.2
2558.05,329274.58,0.79,4652,-391.6
2558.6,329415.04,0.1,4653,-395.7
2559.15,329551.45,0.78,4654,-391.5
2559.7,329684.47,0.49,4655,-393.2
2560.25,329820.2,0.47,4656,-393.2
2560.8,329951.98,0.77,4657,-391.3
2561.35,330083.12,0.92,4658,-390.3
2561.9,330213.04,0.96,4659,-390
2562.45,330342.96,0.97,4660,-389.8
2563,330482.33,0.15,4661,-394.7
2563.55,330615.82,0.71,4662,-391.2
2564.1,330752.86,0.32,4663,-393.4
2564.65,330890.02,0.35,4664,-393.1
2565.2,331036.13,-0.34,4665,-397.2
2565.75,331179.11,-0.1,4666,-395.6
2566.3,331321.8,-0.12,4667,-395.6
2566.85,331460.64,0.05,4668,-394.4
2567.4,331598.67,0.26,4669,-393
2567.95,331724.53,1.03,4670,-388.2
2568.5,331849.11,1.02,4671,-388.1
2569.05,331979.26,0.88,4672,-388.8
2569.6,332096.85,1.79,4673,-383.1
2570.15,332216.73,1.83,4674,-382.7
2570.7,332330.18,2.01,4675,-381.4
2571.25,332441.8,2.32,4676,-379.4
2571.8,332549.19,2.77,4677,-376.5
2572.35,332653.12,3.27,4678,-373.3
2572.9,332762.49,2.53,4679,-377.6
2573.45,332871.72,2.54,4680,-377.4
2574,332975.68,3.19,4681,-373.3
2574.55,333078.6,3.19,4682,-373.1
2575.1,333178.92,3.48,4683,-371.2
2575.65,333277.18,3.75,4684,-369.4
2576.2,333378.7,3.34,4685,-371.7
2576.75,333484.65,3.23,4686,-372.2
2577.3,333589.97,3.35,4687,-371.28
2577.85,333696.91,2.9,4688,-373.82
2578.4,333803.22,3.01,4689,-372.99
2578.95,333901.72,3.7,4690,-368.6
2579.5,333999.57,3.62,4691,-368.9
2580.05,334102.78,2.9,4692,-373.1
2580.6,334207.22,3.09,4693,-371.77
2581.15,334316.18,2.69,4694,-374
2581.7,334422.39,2.87,4695,-372.77
2582.25,334528.27,2.81,4696,-372.97
2582.8,334641.67,2.04,4697,-377.43
2583.35,334762.66,1.6,4698,-379.94
2583.9,334879.77,1.61,4699,-379.71
2584.45,335000.18,1.36,4700,-381.1
2585,335120.26,1.15,4701,-382.2
2585.55,335249.6,0.53,4702,-385.8
2586.1,335376.02,0.8,4703,-384
2586.65,335513.73,-0.07,4704,-389.1
2587.2,335654.89,-0.62,4705,-392.3
2587.75,335798.11,-0.66,4706,-392.4
2588.3,335947.26,-0.95,4707,-394
2588.85,336098.32,-1.48,4708,-397.1
2589.4,336259.87,-1.92,4709,-399.6
2589.95,336425.63,-2.14,4710,-400.8
2590.5,336591.34,-2.17,4711,-400.8
2591.05,336761.76,-2.65,4712,-403.6
2591.6,336937.19,-2.94,4713,-405.2
2592.15,337116.57,-2.78,4714,-404.1
2592.7,337295.88,-3.17,4715,-406.3
2593.25,337477.64,-3.16,4716,-406.1
2593.8,337666.61,-3.5,4717,-408
2594.35,337863.76,-3.98,4718,-410.8
2594.9,338064.26,-4.12,4719,-411.5
2595.45,338273.61,-4.6,4720,-414.3
2596,338492.23,-5.07,4721,-417
2596.55,338723.85,-5.68,4722,-420.6
2597.1,338952.57,-5.5,4723,-419.4
2597.65,339190.23,-5.95,4724,-422
2598.2,339434.53,-6.21,4725,-423.5
2598.75,339690.3,-6.55,4726,-425.5
2599.3,339949.48,-6.96,4727,-427.9
2599.85,340219.61,-7.1,4728,-428.7
2600.4,340500.07,-7.71,4729,-432.4
2600.95,340798.08,-8.39,4730,-436.5
2601.5,341120.9,-9.18,4731,-441.3
2602.05,341454.3,-9.56,4732,-443.6
2602.6,341774.05,-8.99,4733,-440.2
2603.15,342102.7,-9.22,4734,-441.6
2603.7,342448.12,-9.66,4735,-444.3
2604.25,342760.71,-8.98,4736,-440.2
2604.8,343098.3,-9.14,4737,-441.2
2605.35,343403.5,-8.33,4738,-436.3
2605.9,343727.54,-9.03,4739,-440.6
2606.45,344041.3,-8.62,4740,-438.2
2607,344367.5,-8.85,4741,-439.62
2607.55,344688.4,-8.84,4742,-439.6
2608.1,345000.57,-8.53,4743,-437.8
2608.65,345317.06,-8.69,4744,-438.8
2609.2,345623.31,-8.29,4745,-436.4
2609.75,345933.51,-8.43,4746,-437.3
2610.3,346256.51,-8.88,4747,-440.1
2610.85,346556.55,-8.01,4748,-434.8
2611.4,346868.22,-8.46,4749,-437.6
2611.95,347180.75,-8.49,4750,-437.8
2612.5,347465.98,-7.44,4751,-431.4
2613.05,347768.99,-8.14,4752,-435.7
2613.6,348090.14,-8.74,4753,-439.4
2614.15,348407.58,-8.61,4754,-438.6
2614.7,348707.01,-8,4755,-434.9
2615.25,348968.59,-6.52,4756,-425.9
2615.8,349259.75,-7.73,4757,-433.2
2616.35,349539.65,-7.2,4758,-430
2616.9,349821.44,-7.28,4759,-430.5
2617.45,350106.28,-7.36,4760,-431
2618,350409.96,-8.1,4761,-435.5
2618.55,350702.06,-7.61,4762,-432.5
2619.1,350999.87,-7.83,4763,-433.9
2619.65,351299.86,-7.89,4764,-434.3
2620.2,351599.52,-7.87,4765,-434.2
2620.75,351895.45,-7.72,4766,-433.3
2621.3,352195.39,-7.86,4767,-434.2
2621.85,352493.81,-7.97,4768,-434.9
2622.4,352794.19,-7.63,4769,-432.8
2622.95,353090.35,-7.59,4770,-432.6
2623.5,353378.64,-7.4,4771,-431.4
2624.05,353669.96,-7.94,4772,-434.7
2624.6,353957.73,-7.55,4773,-432.3
2625.15,354271.59,-8.15,4774,-436
2625.7,354600.07,-8.58,4775,-438.6
2626.25,354934.84,-8.79,4776,-439.9
2626.8,355274.13,-9,4777,-441.2
2627.35,355609.39,-8.87,4778,-440.4
2627.9,355943.8,-8.87,4779,-440.4
2628.45,356268.1,-8.52,4780,-438.3
2629,356594.15,-8.57,4781,-438.6
2629.55,356927.03,-8.78,4782,-439.9
2630.1,357258.57,-8.7,4783,-439.5
2630.65,357597.56,-8.94,4784,-441
2631.2,357935.16,-8.99,4785,-441.3
2631.75,358282.19,-8.8,4786,-440.2
2632.3,358613.93,-8.41,4787,-437.9
2632.85,358947.26,-8.52,4788,-438.6
2633.4,359281.23,-8.7,4789,-439.7
2633.95,359598.98,-7.84,4790,-434.5
2634.5,359930.86,-8.6,4791,-439.2
2635.05,360248.46,-7.84,4792,-434.6
2635.6,360584.62,-8.74,4793,-440.1
2636.15,360892.09,-7.69,4794,-433.8
2636.7,361222.68,-8.39,4795,-438.1
2637.25,361534.05,-7.89,4796,-435.1
2637.8,361835.01,-7.4,4797,-432.1
2638.35,362150,-7.61,4798,-433.4
2638.9,362473.32,-8.26,4799,-437.4
2639.45,362765.55,-7.07,4800,-430.2
2640,363060.18,-6.07,4801,-424.2
2640.55,363354.43,-7.11,4802,-430.5
2641.1,363660.28,-7.55,4803,-433.2
2641.65,363958.06,-7.2,4804,-431.1
2642.2,364263.63,-7.46,4805,-432.7
2642.75,364592.14,-8.14,4806,-436.94
2643.3,364919.42,-8.19,4807,-437.3
2643.85,365223.98,-7.36,4808,-432.3
2644.4,365525.91,-7.23,4809,-431.55
2644.95,365836.43,-7.58,4810,-433.7
2645.5,366146.95,-7.55,4811,-433.6
2646.05,366455.74,-7.46,4812,-433.1
2646.6,366773.98,-7.8,4813,-435.2
2647.15,367084.5,-7.5,4814,-433.4
2647.7,367388,-7.18,4815,-431.5
2648.25,367688.02,-6.73,4816,-428.8
2648.8,367992.7,-7.38,4817,-432.8
2649.35,368303.32,-7.64,4818,-434.4
2649.9,368640,-8.29,4819,-438.4
2650.45,368963.11,-7.82,4820,-435.6
2651,369275.19,-7.4,4821,-433.1
2651.55,369586.19,-7.36,4822,-432.9
2652.1,369881.12,-6.77,4823,-429.3
2652.65,370183.96,-7.04,4824,-431
2653.2,370487.77,-7.06,4825,-431.1
2653.75,370768.08,-6.17,4826,-425.7
2654.3,371056.77,-6.49,4827,-427.7
2654.85,371345.46,-6.46,4828,-427.5
2655.4,371632.77,-6.39,4829,-427.1
2655.95,371921.47,-6.44,4830,-427.4
2656.5,372202.03,-6.11,4831,-425.4
2657.05,372471.9,-5.7,4832,-422.9
2657.6,372725.41,-4.96,4833,-418.4
2658.15,372989.06,-5.42,4834,-421.2
2658.7,373266.23,-5.9,4835,-424.1
2659.25,373550.58,-6.16,4836,-425.7
2659.8,373844.53,-6.49,4837,-427.7
2660.35,374150.81,-6.86,4838,-430
2660.9,374489.43,-7.94,4839,-436.6
2661.45,374825.21,-7.78,4840,-435.7
2662,375158.25,-7.66,4841,-435
2662.55,375486.26,-7.45,4842,-433.8
2663.1,375809.38,-7.26,4843,-432.7
2663.65,376132.46,-7.22,4844,-432.5
2664.2,376450.09,-7.01,4845,-431.3
2664.75,376753.48,-6.46,4846,-428
2665.3,377062.47,-6.67,4847,-429.3
2665.85,377364.32,-6.46,4848,-428.1
2666.4,377670.36,-6.5,4849,-428.4
2666.95,377964.99,-6.2,4850,-426.6
2667.5,378282.87,-6.85,4851,-430.6
2668.05,378588.42,-6.35,4852,-427.6
2668.6,378882.76,-5.93,4853,-425.1
2669.15,379174.49,-5.81,4854,-424.4
2669.7,379465.23,-5.76,4855,-424.1
2670.25,379748.3,-5.44,4856,-422.2
2670.8,380018.62,-4.91,4857,-419
2671.35,380290.68,-4.97,4858,-419.4
2671.9,380571.31,-5.28,4859,-421.3
2672.45,380846.11,-5.02,4860,-419.7
2673,381118.27,-4.92,4861,-419.1
2673.55,381379.65,-4.42,4862,-416.1
2674.1,381644.47,-4.6,4863,-417.2
2674.65,381911.84,-3.76,4864,-412.1
2675.2,382177.64,-4.52,4865,-416.7
2675.75,382468.27,-5.15,4866,-420.6
2676.3,382753.56,-5.24,4867,-421.2
2676.85,383035.68,-5.09,4868,-420.3
2677.4,383341.56,-5.97,4869,-425.7
2677.95,383644.56,-5.87,4870,-425.2
2678.5,383955.52,-6.06,4871,-426.4
2679.05,384255.75,-5.63,4872,-423.9
2679.6,384549.45,-5.37,4873,-422.4
2680.15,384838.51,-5.18,4874,-421.3
2680.7,385107.3,-4.36,4875,-416.4
2681.25,385389.15,-4.88,4876,-419.6
2681.8,385673.24,-4.93,4877,-420
2682.35,385942.93,-4.31,4878,-416.3
2682.9,386207.03,-4.32,4879,-416.4
2683.45,386469.1,-3.29,4880,-410.2
2684,386716.31,-2.67,4881,-406.5
2684.55,386976.83,-3.88,4882,-413.9
2685.1,387252.77,-4.56,4883,-418.09
2685.65,387537.07,-4.74,4884,-419.3
2686.2,387839.31,-5.35,4885,-423.1
2686.75,388143.73,-5.37,4886,-423.4
2687.3,388467.02,-5.99,4887,-427.3
2687.85,388788.17,-5.86,4888,-426.7
2688.4,389137.32,-6.7,4889,-432
2688.95,389480.58,-6.48,4890,-430.9
2689.5,389804.9,-5.8,4891,-427
2690.05,390135.14,-5.98,4892,-428.3
2690.6,390447.83,-5.35,4893,-424.7
2691.15,390742.96,-4.68,4894,-420.8
2691.7,391040.25,-4.73,4895,-421.3
2692.25,391345.18,-4.96,4896,-422.9
2692.8,391644,-4.7,4897,-421.5
2693.35,391942.38,-4.65,4898,-421.4
2693.9,392231.36,-4.26,4899,-419.3
2694.45,392514.85,-4.03,4900,-418.1
2695,392790.3,-3.67,4901,-416.1
2695.55,393057.46,-3.33,4902,-414.2
2696.1,393324.65,-3.32,4903,-414.3
2696.65,393580.21,-2.78,4904,-411.2
2697.2,393831.96,-2.61,4905,-410.3
2697.75,394079.04,-2.37,4906,-409
2698.3,394327.66,-2.43,4907,-409.5
2698.85,394568.05,-2,4908,-407
2699.4,394814.91,-2.3,4909,-409
2699.95,395057.48,-2.1,4910,-407.9
2700.5,395280.87,-1.12,4911,-402.1
2701.05,395501.45,-0.98,4912,-401.3
2701.6,395737.09,-1.71,4913,-405.9
2702.15,395965.24,-1.31,4914,-403.6
2702.7,396192.07,-1.23,4915,-403.2
2703.25,396413.47,-0.95,4916,-401.6
2703.8,396634.67,-0.93,4917,-401.6
2704.35,396845.89,-0.4,4918,-398.5
2704.9,397058.05,-0.45,4919,-398.9
2705.45,397267.19,-0.25,4920,-397.8
2706,397476.55,-0.28,4921,-398.1
2706.55,397676.55,0.29,4922,-394.7
2707.1,397885.06,-0.2,4923,-397.8
2707.65,398095,-0.22,4924,-398
2708.2,398319,-0.94,4925,-402.5
2708.75,398537,-0.57,4926,-400.4
2709.3,398735,0.47,4927,-394.2
2709.85,398935,0.36,4928,-395
2710.4,399131,0.64,4929,-393.4
2710.95,399340,-0.07,4930,-397.8
2711.5,399543,0.31,4931,-395.6
2712.05,399746,0.39,4932,-395.2
2712.6,399946,0.51,4933,-394.6
2713.15,400143,0.7,4934,-393.5
2713.7,400332,1.16,4935,-390.8
2714.25,400514,1.6,4936,-388.2
2714.8,400704,1.15,4937,-391
2715.35,400901,0.83,4938,-393
2715.9,401094,0.98,4939,-392.2
2716.45,401276,1.78,4940,-387.4
2717,401460,1.62,4941,-388.4
2717.55,401644,1.63,4942,-388.4
2718.1,401830,1.57,4943,-388.8
2718.65,402015,1.58,4944,-388.8
2719.2,402192,2.18,4945,-385.2
2719.75,402380,1.49,4946,-389.4
2720.3,402563,1.79,4947,-387.6
2720.85,402741,2.14,4948,-385.5
2721.4,402917,2.2,4949,-385.1
2721.95,403088,2.62,4950,-382.6
2722.5,403267,2.12,4951,-385.6
2723.05,403444,2.27,4952,-384.7
2723.6,403624,2.01,4953,-386.3
2724.15,403803,2.2,4954,-385.1
2724.7,403984,1.9,4955,-386.9
2725.25,404171,1.64,4956,-388.5
2725.8,404348,2.41,4957,-383.8
2726.35,404529,2.1,4958,-385.7
2726.9,404714,1.88,4959,-387
2727.45,404900,1.78,4960,-387.6
2728,405080,2.22,4961,-384.9
2728.55,405264,1.56,4962,-388.9
2729.1,405441,2.41,4963,-383.7
2729.65,405617,2.49,4964,-383.2
2730.2,405790,2.65,4965,-382.2
2730.75,405962,2.71,4966,-381.8
2731.3,406142,2.22,4967,-384.7
2731.85,406330,1.79,4968,-387.3
2732.4,406508,2.44,4969,-383.3
2732.95,406690,2.27,4970,-384.3
2733.5,406860,3.15,4971,-378.9
2734.05,407031,2.9,4972,-380.4
2734.6,407215,2.19,4973,-384.6
2735.15,407384,2.9,4974,-380.3
2735.7,407567,2.06,4975,-385.3
2736.25,407746,2.45,4976,-382.9
2736.8,407922,2.67,4977,-381.5
2737.35,408105,2.17,4978,-384.5
2737.9,408292,1.99,4979,-385.5
2738.45,408483,1.77,4980,-386.81
2739,408669,1.83,4981,-386.37
2739.55,408849,2.09,4982,-384.72
2740.1,409028,2.21,4983,-383.94
2740.65,409217,1.73,4984,-386.79
2741.2,409402,2.13,4985,-384.3
2741.75,409588,1.8,4986,-386.22
2742.3,409781,1.73,4987,-386.62
2742.85,409980,1.57,4988,-387.52
2743.4,410174,1.58,4989,-387.36
2743.95,410374,1.72,4990,-386.48
2744.5,410577,1.47,4991,-387.93
2745.05,410778,1.72,4992,-386.35
2745.6,410986,1.47,4993,-387.8
2746.15,411194,1.37,4994,-388.4
2746.7,411402,1.64,4995,-386.7
2747.25,411605,0.95,4996,-390.8
2747.8,411817,0.72,4997,-392.11
2748.35,412046,0.44,4998,-393.78
2748.9,412277,0.49,4999,-393.39
2749.45,412507,0.43,5000,-393.72
2750,412739,0.08,5001,-395.76
2750.55,412977,0.66,5002,-392.22
2751.1,413198,0.48,5003,-393.26
2751.65,413432,0.23,5004,-394.69
2752.2,413669,0.68,5005,-391.94
2752.75,413902,0.57,5006,-392.5
2753.3,414139,-0.08,5007,-396.4
2753.85,414392,0.26,5008,-394.3
2754.4,414639,0.43,5009,-393.2
2754.95,414882,0.17,5010,-394.7
2755.5,415132,0.12,5011,-394.9
2756.05,415384,0.61,5012,-391.9
2756.6,415626,0.31,5013,-393.6
2757.15,415875,0.31,5014,-393.5
2757.7,416125,0.1,5015,-394.7
2758.25,416380,0.63,5016,-391.4
2758.8,416624,0.33,5017,-393.1
2759.35,416874,0.67,5018,-390.9
2759.9,417118,0.83,5019,-389.8
2760.45,417358,0.38,5020,-392.4
2761,417608,0.32,5021,-392.6
2761.55,417860,0.61,5022,-390.7
2762.1,418106,0.08,5023,-393.8
2762.65,418364,0.01,5024,-394.1
2763.2,418624,-0.28,5025,-395.7
2763.75,418889,-0.32,5026,-395.8
2764.3,419133,-0.24,5027,-395.2
