TSid,dataSetName,archiveType,pub1_authors,pub1_year,pub1_doi,pub2_authors,pub2_year,pub2_doi,originalDataUrl,lat,lon,elevation,siteName,subRegion,minYear,maxYear,proxy,measurementMaterial,variableName,variableNameOriginal,units,description,"paleoDataNotes
",climateVariable,climateVariableDetail,seasonality,direction,basis,calibration_method,inCompilation,useInGlobalHolocene,QC Certification,QC comments,link to lipdverse
O2kLR_118q,SK237-GC04.Saraswat.2013,MarineSediment,"Saraswat, Rajeev ; Lea, David W. ; Nigam, Rajiv ; Mackensen, Andreas ; Naik, Dinesh K.",2013,10.1016/j.epsl.2013.05.022,NA,NA,NA,NA,10.98,74.9993,-1245,"SW coast of India, Indian ocean",NA,120,31599,Mg/Ca,NA,Mg/Ca,Mg_Ca,degC,NA,; archiveType changed - was originally Marine sediment (MS),T,NA,NA,positive,NA,NA,NA,FALSE,DK,Duplicate?,http://lipdverse.org/globalHolocene/0_23_0/SK237-GC04.Saraswat.2013.html
LPDc1accbf5t,SK237-GC04.Saraswat.2013,MarineSediment,"Saraswat, Rajeev ; Lea, David W. ; Nigam, Rajiv ; Mackensen, Andreas ; Naik, Dinesh K.",2013,10.1016/j.epsl.2013.05.022,NA,NA,NA,NA,10.98,74.9993,-1245,"SW coast of India, Indian ocean",NA,120,31599,NA,planktonic foraminifera carbonate (G ruber white 250-355),d18O,Mg_Ca,mmol/mol,Mg/Ca of foraminiferal calcite,"The specimens were cleaned following the UCSB standard foraminifera cleaning procedure without the DTPA step ( Lea et al., 2000 and Martin and Lea, 2002).; archiveType changed - was originally Marine sediment (MS)",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SK237-GC04.Saraswat.2013.html
MS13RSAS01a,SK237-GC04.Saraswat.2013,MarineSediment,"Saraswat, Rajeev ; Lea, David W. ; Nigam, Rajiv ; Mackensen, Andreas ; Naik, Dinesh K.",2013,10.1016/j.epsl.2013.05.022,NA,NA,NA,NA,10.98,74.9993,-1245,"SW coast of India, Indian ocean",NA,120,31599,NA,planktonic foraminifera,temperature,NA,permil,carbonate,; archiveType changed - was originally Marine sediment (MS),temperature/salinity,sea@surface,NaN,NA,NaN,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SK237-GC04.Saraswat.2013.html
O2kLR_120,SK237-GC04.Saraswat.2013,MarineSediment,"Saraswat, Rajeev ; Lea, David W. ; Nigam, Rajiv ; Mackensen, Andreas ; Naik, Dinesh K.",2013,10.1016/j.epsl.2013.05.022,NA,NA,NA,NA,10.98,74.9993,-1245,"SW coast of India, Indian ocean",NA,115,2259,Mg/Cal,foram Mg/Ca,d18O,NA,degC,inferred sea-surface temperature,"All O2K-LR records have been quality-controlled according to protocols published in Nature Geoscience supplement. Core length not reported, deepest 14C date at 286.5 cm; climateInterpretation_seasonality changed - was originally Annual; archiveType changed - was originally Marine sediment (MS)",T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,negative,Mg/Ca calibration to SST,NA,NA,FALSE,KT,"These are the original, not quality controlled data. O2kLR recommends only using the Quality controlled data.Dataset chronology not QCd; Final entry truncated.",http://lipdverse.org/globalHolocene/0_23_0/SK237-GC04.Saraswat.2013.html
LPDff041d67,SN-6.STiwari.2015,MarineSediment,"Tiwari, Manish ; Nagoji, Siddhesh S ; Ganeshram, Raja S",2015,10.1177/0959683615585840,NA,NA,NA,http://www.ncdc.noaa.gov/paleo/study/18919,12.486,74.133,-589,SN-6,unassigned,154.21,4772.19,NA,NA,d18O,NA,permil,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SN-6.STiwari.2015.html
LPD5f9ad71d,SN-6.STiwari.2015,MarineSediment,"Tiwari, Manish ; Nagoji, Siddhesh S ; Ganeshram, Raja S",2015,10.1177/0959683615585840,NA,NA,NA,http://www.ncdc.noaa.gov/paleo/study/18919,12.486,74.133,-589,SN-6,unassigned,154.21,4772.19,NA,NA,Mg/Ca,MgCa,mmol/mol,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SN-6.STiwari.2015.html
LPD34dc3c9f,SN-6.STiwari.2015,MarineSediment,"Tiwari, Manish ; Nagoji, Siddhesh S ; Ganeshram, Raja S",2015,10.1177/0959683615585840,NA,NA,NA,http://www.ncdc.noaa.gov/paleo/study/18919,12.486,74.133,-589,SN-6,unassigned,154.21,4772.19,NA,NA,d18O,d18Osw,ppt,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SN-6.STiwari.2015.html
LPD887f549b,SN-6.STiwari.2015,MarineSediment,"Tiwari, Manish ; Nagoji, Siddhesh S ; Ganeshram, Raja S",2015,10.1177/0959683615585840,NA,NA,NA,http://www.ncdc.noaa.gov/paleo/study/18919,12.486,74.133,-589,SN-6,unassigned,154.21,4772.19,NA,NA,sss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SN-6.STiwari.2015.html
LPD5024de7f,SO136GC11.Barrows.2007,MarineSediment,"Barrows, T. T. ; Lehman, S. J. ; Fifield, L. K. ; De Deckker, P.",2007,10.1126/science.1145873,NaN,NA,NA,NA,-43.5,167.9,NA,SO136-GC11,unassigned,50,13830,NA,NA,Uk37,UK_37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO136GC11.Barrows.2007.html
hobdob1595,SO139-74KL.Luckge.2008,MarineSediment,"Lueckge, Andreas ; Mohtadi, Mahyar ; Ruehlemann, Carsten ; Scheeder, Georg ; Vink, Annemiek ; Reinhardt, Lutz ; Wiedicke, Michael",2009,10.1029/2008PA001627,NA,NA,NA,https://doi.pangaea.de/10.1594/PANGAEA.882100,-6.543,103.833,-1690,SO139-74KL,unassigned,1007,292000,NA,NA,Uk37,uk37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO139-74KL.Luckge.2008.html
30milehsbarn,SO139-74KL.Luckge.2008,MarineSediment,"Lueckge, Andreas ; Mohtadi, Mahyar ; Ruehlemann, Carsten ; Scheeder, Georg ; Vink, Annemiek ; Reinhardt, Lutz ; Wiedicke, Michael",2009,10.1029/2008PA001627,NA,NA,NA,https://doi.pangaea.de/10.1594/PANGAEA.882100,-6.543,103.833,-1690,SO139-74KL,unassigned,1007,292000,NA,NA,Gruber,NA,permil,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO139-74KL.Luckge.2008.html
uglyPinStripe4,SO139-74KL.Luckge.2008,MarineSediment,"Lueckge, Andreas ; Mohtadi, Mahyar ; Ruehlemann, Carsten ; Scheeder, Georg ; Vink, Annemiek ; Reinhardt, Lutz ; Wiedicke, Michael",2009,10.1029/2008PA001627,NA,NA,NA,https://doi.pangaea.de/10.1594/PANGAEA.882100,-6.543,103.833,-1690,SO139-74KL,unassigned,1007,292000,NA,NA,TOC,NA,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO139-74KL.Luckge.2008.html
LPDc07cf718,SO189-119KL.Mohtadi.2014,MarineSediment,"Mohtadi, Mahyar ; Prange, Matthias ; Oppo, Delia W. ; De Pol-Holz, Ricardo ; Merkel, Ute ; Zhang, Xiao ; Steinke, Stephan ; Lueckge, Andreas",2014,10.1038/nature13196,NA,NA,NA,https://www.ncdc.noaa.gov/paleo/study/19139,3.5167,96.3167,-808,SO189-119KL,unassigned,60,36060,NA,NA,d18O,NA,permil,"d18Og.rub-w-ss250-355 delta 18O, Globigerinoides ruber white sensu stricto 250-355um, , per mil PDB, , paleoceanography, , ,N",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO189-119KL.Mohtadi.2014.html
LPD1d1e6750,SO189-119KL.Mohtadi.2014,MarineSediment,"Mohtadi, Mahyar ; Prange, Matthias ; Oppo, Delia W. ; De Pol-Holz, Ricardo ; Merkel, Ute ; Zhang, Xiao ; Steinke, Stephan ; Lueckge, Andreas",2014,10.1038/nature13196,NA,NA,NA,https://www.ncdc.noaa.gov/paleo/study/19139,3.5167,96.3167,-808,SO189-119KL,unassigned,60,36060,NA,NA,d18Osw-sl-g.rubw,NA,permil,"d18Osw-sl-g.rubw delta 18O, seawater, , per mil SMOW, , paleoceanography, sea-level corrected after Waelbroeck et al. (2002), HL equation of Bemis et al. (1998),N",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO189-119KL.Mohtadi.2014.html
LPD8a627fff,SO189-39KL.Mohtadi.2014,MarineSediment,"Mohtadi, Mahyar ; Prange, Matthias ; Oppo, Delia W. ; De Pol-Holz, Ricardo ; Merkel, Ute ; Zhang, Xiao ; Steinke, Stephan ; Lueckge, Andreas",2014,10.1038/nature13196,NA,NA,NA,https://www.ncdc.noaa.gov/paleo/study/19139,-0.7833,99.9,-517,SO189-119KL,unassigned,410,45330,NA,NA,d18O,NA,permil,"d18Og.rub-w-ss250-355 delta 18O, Globigerinoides ruber white sensu stricto 250-355um, , per mil PDB, , paleoceanography, , ,N",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO189-39KL.Mohtadi.2014.html
LPD1756fdf4,SO189-39KL.Mohtadi.2014,MarineSediment,"Mohtadi, Mahyar ; Prange, Matthias ; Oppo, Delia W. ; De Pol-Holz, Ricardo ; Merkel, Ute ; Zhang, Xiao ; Steinke, Stephan ; Lueckge, Andreas",2014,10.1038/nature13196,NA,NA,NA,https://www.ncdc.noaa.gov/paleo/study/19139,-0.7833,99.9,-517,SO189-119KL,unassigned,410,45330,NA,NA,d18Osw-sl-g.rubw,NA,permil,"d18Osw-sl-g.rubw delta 18O, seawater, , per mil SMOW, , paleoceanography, sea-level corrected after Waelbroeck et al. (2002), HL equation of Bemis et al. (1998),N",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO189-39KL.Mohtadi.2014.html
R2NKfGCV6wZ,SO42_74KL,MarineSediment,"Sirocko, F",2000,10.1016/S0921-8181(00)00046-1,"Sirocko, F. ; Sarnthein, M. ; Erlenkeuser, H. ; Lange, H. ; Arnold, M. ; Duplessy, J. C.",1993,10.1038/364322a0,NA,14.321,57.347,-3212,SO42_74KL,NA,Inf,-Inf,NA,planktic foraminifera calcite,planktic.d13C,NA,permil,G_ruber_p_d18O_per_mil_PDB,changed from pink,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO42_74KL.html
RW4Fmqry5AQ,SO42_74KL,MarineSediment,"Sirocko, F",2000,10.1016/S0921-8181(00)00046-1,"Sirocko, F. ; Sarnthein, M. ; Erlenkeuser, H. ; Lange, H. ; Arnold, M. ; Duplessy, J. C.",1993,10.1038/364322a0,NA,14.321,57.347,-3212,SO42_74KL,NA,Inf,-Inf,NA,planktic foraminifera calcite,CaCO3,NA,permil,G_ruber_p_d13C_per_mil_PDB,changed from pink,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO42_74KL.html
RvELT5it9kL,SO42_74KL,MarineSediment,"Sirocko, F",2000,10.1016/S0921-8181(00)00046-1,"Sirocko, F. ; Sarnthein, M. ; Erlenkeuser, H. ; Lange, H. ; Arnold, M. ; Duplessy, J. C.",1993,10.1038/364322a0,NA,14.321,57.347,-3212,SO42_74KL,NA,Inf,-Inf,NA,bulk sediment,d18O,benthic.d18O,percent,CaCO3_percent,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO42_74KL.html
RqFRhvLpRRc,SO42_74KL,MarineSediment,"Sirocko, F",2000,10.1016/S0921-8181(00)00046-1,"Sirocko, F. ; Sarnthein, M. ; Erlenkeuser, H. ; Lange, H. ; Arnold, M. ; Duplessy, J. C.",1993,10.1038/364322a0,NA,14.321,57.347,-3212,SO42_74KL,NA,Inf,-Inf,NA,benthic foraminifera calcite,d13C,benthic.d13C,permil,C_wuellerstorfi_d18O_per_mil_PDB,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO42_74KL.html
R19faE7v2sV,SO42_74KL,MarineSediment,"Sirocko, F",2000,10.1016/S0921-8181(00)00046-1,"Sirocko, F. ; Sarnthein, M. ; Erlenkeuser, H. ; Lange, H. ; Arnold, M. ; Duplessy, J. C.",1993,10.1038/364322a0,NA,14.321,57.347,-3212,SO42_74KL,NA,Inf,-Inf,NA,benthic foraminifera calcite,TOC,benthic.d13C,permil,C_wuellerstorfi_d13C_per_mil_PDB,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO42_74KL.html
RL1UFqPmVOV,SO42_74KL,MarineSediment,"Sirocko, F",2000,10.1016/S0921-8181(00)00046-1,"Sirocko, F. ; Sarnthein, M. ; Erlenkeuser, H. ; Lange, H. ; Arnold, M. ; Duplessy, J. C.",1993,10.1038/364322a0,NA,14.321,57.347,-3212,SO42_74KL,NA,Inf,-Inf,NA,bulk sediment,temperature,surface.temp,percent,TOC_percent,TOC = TC - CaCO3,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO42_74KL.html
Rj2KhAUlWb5,SO90_56KA,MarineSediment,"Doose-Rolinski, Heidi ; Rogalla, Ulf ; Scheeder, Georg ; Lueckge, Andreas ; von Rad, Ulrich",2001,10.1029/2000PA000511,"von Rad, Ulrich ; Schaaf, Michael ; Michels, Klaus H. ; Schulz, Hartmut ; Berger, Wolfgang H. ; Sirocko, Frank",1999,10.1006/qres.1998.2016,NA,24.833,65.916,-695,SO90_56KA,NA,152,4883,NA,planktic foraminifera calcite,d13C,NA,permil,G_ruber_w_d18O_per_mil_PDB,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SO90_56KA.html
LPD6a56b896,Sofular.Fleitmann.2009,Speleothem,"Fleitmann, D. ; Cheng, H. ; Badertscher, S. ; Edwards, R. L. ; Mudelsee, M. ; Goektuerk, O. M. ; Fankhauser, A. ; Pickering, R. ; Raible, C. C. ; Matter, A. ; Kramers, J. ; Tueysuez, O.",2009,10.1029/2009GL040050,NA,NA,NA,https://www.ncdc.noaa.gov/paleo/study/8637,41.4167,31.9333,700,Sofular,unassigned,-56,50274.5,NA,NA,d13C,NA,NA,"Stable isotope (carbon and oxygen) of stalagmite So-1 from Sofular Cave, Northern Turkey. 230Th dating of stalagmite So-1 was made on a multi-collector inductively coupled plasma mass spectrometer (MC-ICP-MS, Thermo-Finnigan-Neptune) at the Minnesota Isotope Laboratory, University of Minnesota (auxiliary material Table A1). Further 230Th dating on all stalagmites was done on a Nu Instruments MC-ICP-MS at the Geological Institute, University of Bern. Stable isotope analyses were performed on a Finnigan Delta V Advantage mass spectrometer equipped with an automated carbonate preparation system (Gas Bench-II) at the Institute of Geological Sciences, University of Bern. Precision of d13C and d18O measurements is 0.06     and 0.07     (1s-error) respectively.",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/Sofular.Fleitmann.2009.html
LPD38727801,Sofular.Fleitmann.2009,Speleothem,"Fleitmann, D. ; Cheng, H. ; Badertscher, S. ; Edwards, R. L. ; Mudelsee, M. ; Goektuerk, O. M. ; Fankhauser, A. ; Pickering, R. ; Raible, C. C. ; Matter, A. ; Kramers, J. ; Tueysuez, O.",2009,10.1029/2009GL040050,NA,NA,NA,https://www.ncdc.noaa.gov/paleo/study/8637,41.4167,31.9333,700,Sofular,unassigned,-56,50274.5,d18O,NA,d18O,NA,NA,NA,NA,M,monsoon,NA,negative,NA,NA,NA,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/Sofular.Fleitmann.2009.html
LPDd7ba1947,Sonk11D.Lauterbach.2014,LakeSediment,"Lauterbach, Stefan ; Witt, Roman ; Plessen, Birgit ; Dulski, Peter ; Prasad, Sushma ; Mingram, Jens ; Gleixner, Gerd ; Hettler-Riedel, Sabine ; Stebich, Martina ; Schnetger, Bernhard ; Schwalb, Antje ; Schwarz, Anja",2014,10.1177/0959683614534741,NA,NA,NA,NA,41.7939,75.1961,3016,Sonk11D,unassigned,-44.9,5988.8,NA,NA,C170x2D28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/Sonk11D.Lauterbach.2014.html
LPD343ffe05,Sonk11D.Lauterbach.2014,LakeSediment,"Lauterbach, Stefan ; Witt, Roman ; Plessen, Birgit ; Dulski, Peter ; Prasad, Sushma ; Mingram, Jens ; Gleixner, Gerd ; Hettler-Riedel, Sabine ; Stebich, Martina ; Schnetger, Bernhard ; Schwalb, Antje ; Schwarz, Anja",2014,10.1177/0959683614534741,NA,NA,NA,NA,41.7939,75.1961,3016,Sonk11D,unassigned,-44.9,5988.8,dD,NA,dD,NA,permil,NA,NA,M,NA,1 2 3 4 5 6 7 8 9 10 11 12,negative,NA,NA,NA,TRUE,NA,climate impact of the Westerlies was apparently not only restricted to the summer season but also significant during winter as indicated by recurrent episodes of enhanced allochthonous input through snowmelt,http://lipdverse.org/globalHolocene/0_23_0/Sonk11D.Lauterbach.2014.html
LPDe4137c97,SoreqCave,Speleothem,"Bar-Matthews, Miryam ; Ayalon, Avner ; Gilmour, Mabs ; Matthews, Alan ; Hawkesworth, Chris J.",2003,10.1016/S0016-7037(02)01031-1,NaN,NA,NA,NA,31.45,35.03,680,SoreqCave,unassigned,0,184000,d18O,Speleothem,d18O,NA,permil,Speleothemd18O,NA,M,NA,1 2 3 4 5 6 7 8 9 10 11 12,negative,NA,NA,NA,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SoreqCave.html
LPDa57a56a6,SoreqCave,Speleothem,"Bar-Matthews, Miryam ; Ayalon, Avner ; Gilmour, Mabs ; Matthews, Alan ; Hawkesworth, Chris J.",2003,10.1016/S0016-7037(02)01031-1,NaN,NA,NA,NA,31.45,35.03,680,SoreqCave,unassigned,0,184000,NA,NA,d13C,NA,NA,d13C,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SoreqCave.html
GH20fadeae,South_Island,MarineSediment,"Williams, P.W. ; King, D.N.T. ; Zhao, J.-X. ; Collerson, K.D.",2005,10.1016/j.epsl.2004.10.024,NaN,NA,NA,NA,-42,172,NA,SouthIsland,unassigned,508.015,29876,d13C,NA,d13C,NA,permil,NA,NA,M,NA,NA,negative,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/South_Island.html
GH4ee51c1b,South_Island,MarineSediment,"Williams, P.W. ; King, D.N.T. ; Zhao, J.-X. ; Collerson, K.D.",2005,10.1016/j.epsl.2004.10.024,NaN,NA,NA,NA,-42,172,NA,SouthIsland,unassigned,508.015,29876,NA,NA,d18O,NA,permil,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/South_Island.html
LPDb59e4b87,SouthernCalifornia.OhlweinWahl.2012,LakeSediment,"Ohlwein, Christian ; Wahl, Eugene R.",2012,10.1016/j.quascirev.2011.11.002,NA,NA,NA,NA,33.7689,-116.66,2399,SouthernCalifornia,WNA,10469,11446,pollen,NA,Tanom,NA,degC,NA,NA,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SouthernCalifornia.OhlweinWahl.2012.html
LPDd88d222a,SouthernCalifornia.OhlweinWahl.2012,LakeSediment,"Ohlwein, Christian ; Wahl, Eugene R.",2012,10.1016/j.quascirev.2011.11.002,NA,NA,NA,NA,33.7689,-116.66,2399,SouthernCalifornia,WNA,10469,11446,NA,NA,T-SD,NA,degC,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SouthernCalifornia.OhlweinWahl.2012.html
LPDf970effe,SouthernCalifornia.OhlweinWahl.2012,LakeSediment,"Ohlwein, Christian ; Wahl, Eugene R.",2012,10.1016/j.quascirev.2011.11.002,NA,NA,NA,NA,33.7689,-116.66,2399,SouthernCalifornia,WNA,10469,11446,NA,NA,T+SD,NA,degC,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SouthernCalifornia.OhlweinWahl.2012.html
LPDf970effe1,SouthernCalifornia.OhlweinWahl.2012,LakeSediment,"Ohlwein, Christian ; Wahl, Eugene R.",2012,10.1016/j.quascirev.2011.11.002,NA,NA,NA,NA,33.7689,-116.66,2399,SouthernCalifornia,WNA,10469,11446,pollen,NA,Panom,NA,cm,NA,NA,M,precip,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SouthernCalifornia.OhlweinWahl.2012.html
LPDf970effe2,SouthernCalifornia.OhlweinWahl.2012,LakeSediment,"Ohlwein, Christian ; Wahl, Eugene R.",2012,10.1016/j.quascirev.2011.11.002,NA,NA,NA,NA,33.7689,-116.66,2399,SouthernCalifornia,WNA,10469,11446,NA,NA,p-SD,NA,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SouthernCalifornia.OhlweinWahl.2012.html
LPDf970effe3,SouthernCalifornia.OhlweinWahl.2012,LakeSediment,"Ohlwein, Christian ; Wahl, Eugene R.",2012,10.1016/j.quascirev.2011.11.002,NA,NA,NA,NA,33.7689,-116.66,2399,SouthernCalifornia,WNA,10469,11446,NA,NA,p+SD,NA,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SouthernCalifornia.OhlweinWahl.2012.html
LPDf970effe4,SouthernCalifornia.OhlweinWahl.2012,LakeSediment,"Ohlwein, Christian ; Wahl, Eugene R.",2012,10.1016/j.quascirev.2011.11.002,NA,NA,NA,NA,33.7689,-116.66,2399,SouthernCalifornia,WNA,10469,11446,NA,NA,CoreSite,NA,NA,HCCM = Hual Cu Cuish Meadow,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SouthernCalifornia.OhlweinWahl.2012.html
LPD537be86c,SouthernCalifornia.OhlweinWahl.2012,LakeSediment,"Ohlwein, Christian ; Wahl, Eugene R.",2012,10.1016/j.quascirev.2011.11.002,NA,NA,NA,NA,33.7689,-116.66,2399,SouthernCalifornia,WNA,408,9276,pollen,NA,Tanom,NA,degC,NA,NA,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SouthernCalifornia.OhlweinWahl.2012.html
LPD387da3e9,SouthernCalifornia.OhlweinWahl.2012,LakeSediment,"Ohlwein, Christian ; Wahl, Eugene R.",2012,10.1016/j.quascirev.2011.11.002,NA,NA,NA,NA,33.7689,-116.66,2399,SouthernCalifornia,WNA,408,9276,NA,NA,T-SD,NA,degC,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SouthernCalifornia.OhlweinWahl.2012.html
LPDa6507caf,SouthernCalifornia.OhlweinWahl.2012,LakeSediment,"Ohlwein, Christian ; Wahl, Eugene R.",2012,10.1016/j.quascirev.2011.11.002,NA,NA,NA,NA,33.7689,-116.66,2399,SouthernCalifornia,WNA,408,9276,NA,NA,T+SD,NA,degC,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SouthernCalifornia.OhlweinWahl.2012.html
LPD387da3e90,SouthernCalifornia.OhlweinWahl.2012,LakeSediment,"Ohlwein, Christian ; Wahl, Eugene R.",2012,10.1016/j.quascirev.2011.11.002,NA,NA,NA,NA,33.7689,-116.66,2399,SouthernCalifornia,WNA,408,9276,pollen,NA,Panom,NA,cm,NA,NA,M,precip,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SouthernCalifornia.OhlweinWahl.2012.html
LPD387da3e10,SouthernCalifornia.OhlweinWahl.2012,LakeSediment,"Ohlwein, Christian ; Wahl, Eugene R.",2012,10.1016/j.quascirev.2011.11.002,NA,NA,NA,NA,33.7689,-116.66,2399,SouthernCalifornia,WNA,408,9276,NA,NA,p-SD,NA,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SouthernCalifornia.OhlweinWahl.2012.html
LPD387da3e11,SouthernCalifornia.OhlweinWahl.2012,LakeSediment,"Ohlwein, Christian ; Wahl, Eugene R.",2012,10.1016/j.quascirev.2011.11.002,NA,NA,NA,NA,33.7689,-116.66,2399,SouthernCalifornia,WNA,408,9276,NA,NA,p+SD,NA,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SouthernCalifornia.OhlweinWahl.2012.html
LPD387da3e12,SouthernCalifornia.OhlweinWahl.2012,LakeSediment,"Ohlwein, Christian ; Wahl, Eugene R.",2012,10.1016/j.quascirev.2011.11.002,NA,NA,NA,NA,33.7689,-116.66,2399,SouthernCalifornia,WNA,408,9276,NA,NA,CoreSite,NA,NA,"TM = Taquitz Medow, 33.768889, -116.66",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SouthernCalifornia.OhlweinWahl.2012.html
LPD981a64bd,SouthernCalifornia.OhlweinWahl.2012,LakeSediment,"Ohlwein, Christian ; Wahl, Eugene R.",2012,10.1016/j.quascirev.2011.11.002,NA,NA,NA,NA,33.7689,-116.66,2399,SouthernCalifornia,WNA,408,11446,NA,NA,core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SouthernCalifornia.OhlweinWahl.2012.html
LPD9e9f437d,SouthernCalifornia.OhlweinWahl.2012,LakeSediment,"Ohlwein, Christian ; Wahl, Eugene R.",2012,10.1016/j.quascirev.2011.11.002,NA,NA,NA,NA,33.7689,-116.66,2399,SouthernCalifornia,WNA,408,11446,NA,NA,T-SD,NA,degC,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SouthernCalifornia.OhlweinWahl.2012.html
LPDbf7cf9491,SouthernCalifornia.OhlweinWahl.2012,LakeSediment,"Ohlwein, Christian ; Wahl, Eugene R.",2012,10.1016/j.quascirev.2011.11.002,NA,NA,NA,NA,33.7689,-116.66,2399,SouthernCalifornia,WNA,408,11446,NA,NA,T+SD,NA,degC,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/SouthernCalifornia.OhlweinWahl.2012.html
