depth (m),age (BP),depth (m),age (BP),planktic.d13C (permil),depth (m),age (BP),TOC (percent),depth (m),age (BP),CaCO3 (percent),depth (m),age (BP),temperature (degC),temperature (degC),depth (m),age (BP),temperature (degC),temperature (degC),planktic.MgCa (mmol_mol),planktic.MgCa (mmol_mol),depth (m),age (BP),temperature (degC),temperature (degC),depth (m),d18O (permil),d13C (permil),depth (m),planktic.d18O (permil),planktic.d13C (permil),depth (m),planktic.d18O (permil),planktic.d13C (permil),depth (m),planktic.MgCa (mmol_mol),depth (m),planktic.MgCa (mmol_mol)
38.46,436510,38.66,439150,1.2,29.565,324500,0.65,29.665,325540,58.4,NA,NA,NA,NA,7.39,46963,20.2,25.7,2,3.8,NA,NA,NA,NA,6.95,3.54,0.2,5.17,-0.216,0.968,4.78,-1.18,1.45,14.46,3.62,14.49,2.02
38.66,439150,38.86,441760,1.17,29.665,324500,0.49,29.765,326690,57.4,NA,NA,NA,NA,7.4,47059,20.5,26.2,2.1,4,NA,NA,NA,NA,6.96,3.51,0.24,5.18,-0.119,0.973,4.79,-1.21,1.43,14.47,3.45,14.5,2.06
38.86,441760,38.96,443060,1.2,29.765,326810,0.52,29.865,327850,53.8,NA,NA,NA,NA,7.41,47154,22.2,25.7,2.4,3.8,NA,NA,NA,NA,6.97,3.59,0.24,5.19,-0.228,0.903,4.8,-1.12,1.38,14.48,3.52,14.51,1.94
38.96,443060,39.16,445640,1.25,29.865,327970,0.52,29.965,329010,51.4,NA,NA,NA,NA,7.42,47250,20.5,25.8,2.1,3.9,NA,NA,NA,NA,6.98,3.57,0.22,5.2,-0.257,0.854,4.81,-1.185,1.44,14.49,3.6,14.52,2.18
39.16,445640,39.36,448190,1.15,29.965,329120,0.6,30.065,330170,44.7,NA,NA,NA,NA,7.43,47346,21.2,26.3,2.2,4.1,NA,NA,NA,NA,6.99,3.49,0.3,5.21,-0.052,1.134,4.82,-1.13,1.43,14.5,3.59,14.53,2.04
39.36,448190,39.56,450710,1.14,30.065,330280,0.64,30.165,331320,44.8,NA,NA,NA,NA,7.44,47441,20.3,25.8,2,3.9,NA,NA,NA,NA,7,3.5,0.26,5.22,-0.252,1.038,4.83,-1.01,1.46,14.51,3.56,14.54,2.14
39.56,450710,39.76,453190,1.12,30.165,331440,0.62,30.265,332480,54.4,NA,NA,NA,NA,7.45,47537,18.9,25.6,1.8,3.8,NA,NA,NA,NA,7.01,3.48,0.23,5.23,-0.188,0.967,4.84,-1.2,1.49,14.52,3.61,14.55,2.23
39.76,453190,39.96,455640,1.37,30.265,332590,0.55,30.365,333630,58.4,NA,NA,NA,NA,7.46,47633,20.6,25.9,2.1,3.9,NA,NA,NA,NA,7.02,3.44,0.31,5.24,-0.054,1.06,4.85,-1.1,1.3,14.53,3.57,14.56,2.05
39.96,455640,40.16,458060,1.12,30.365,333750,0.67,30.465,334790,59.6,NA,NA,NA,NA,7.47,47729,20.1,25.3,2,3.7,NA,NA,NA,NA,7.03,3.51,0.26,5.25,-0.135,1.105,4.86,-1.3,1.48,14.54,3.41,14.57,2.02
40.16,458060,40.36,460460,1.38,30.465,334900,0.8,30.565,335940,58.9,NA,NA,NA,NA,7.48,47825,19.2,26.1,1.8,4,NA,NA,NA,NA,7.04,3.52,0.3,5.26,-0.079,0.963,4.87,-1.32,1.41,14.55,3.58,14.58,1.9
40.36,460460,40.46,461540,1.27,30.565,336060,0.75,30.665,337100,60.7,NA,NA,NA,NA,7.49,47921,20,25.9,2,3.9,NA,NA,NA,NA,7.05,3.36,0.25,5.27,-0.135,0.988,4.88,-1.14,1.6,14.56,3.73,14.59,2.06
40.46,461540,NA,NA,NA,30.665,337210,0.75,30.765,338250,61.4,NA,NA,NA,NA,7.5,48016,20.1,26,2,4,NA,NA,NA,NA,7.06,3.52,0.33,5.28,-0.26,1.05,4.89,-1.19,1.47,14.57,3.47,14.6,1.91
NA,NA,NA,NA,NA,30.765,338370,0.74,30.865,339410,55.3,NA,NA,NA,NA,7.51,48112,20.2,25.6,2,3.8,NA,NA,NA,NA,7.07,3.62,0.2,5.29,-0.042,0.91,4.9,-1.15,1.42,14.58,3.5,14.61,1.84
NA,NA,NA,NA,NA,30.865,339530,1.05,30.965,340570,53.7,NA,NA,NA,NA,7.52,48208,18.8,25.9,1.8,3.9,NA,NA,NA,NA,7.08,3.54,0.25,5.3,-0.05,1.047,4.91,-1.21,1.41,14.59,3.57,14.62,1.9
NA,NA,NA,NA,NA,30.965,340690,1.26,31.065,341730,53.7,NA,NA,NA,NA,7.53,48304,20.2,25.3,2,3.7,NA,NA,NA,NA,7.09,3.58,0.26,5.31,-0.209,1.002,4.92,-1.27,1.43,14.6,3.34,14.63,1.96
NA,NA,NA,NA,NA,31.065,341850,1.35,31.165,342900,53.8,NA,NA,NA,NA,7.54,48400,20,26,2,3.9,NA,NA,NA,NA,7.1,3.52,0.26,5.33,-0.088,0.917,4.93,-1.26,1.36,14.61,3.35,14.65,1.9
NA,NA,NA,NA,NA,31.165,343020,1.31,31.265,344070,52.3,NA,NA,NA,NA,7.55,48496,19.5,25.8,1.9,3.9,NA,NA,NA,NA,7.11,3.47,0.24,5.34,-0.171,0.991,4.94,-1.27,1.45,14.62,3.35,14.66,1.83
NA,NA,NA,NA,NA,31.265,344190,1.25,31.365,345240,52.8,NA,NA,NA,NA,7.56,48592,19.7,24.9,1.9,3.6,NA,NA,NA,NA,7.12,3.6,0.19,5.35,-0.238,1.06,4.95,-1.25,1.57,14.63,3.76,14.67,1.92
NA,NA,NA,NA,NA,31.365,345360,1.11,31.465,346410,53.3,NA,NA,NA,NA,7.57,48688,20.9,25.2,2.2,3.7,NA,NA,NA,NA,7.13,3.54,0.26,5.36,-0.151,0.976,4.96,-1.13,1.38,14.64,3.54,14.68,1.82
NA,NA,NA,NA,NA,31.465,346530,1.01,31.565,347580,52.6,NA,NA,NA,NA,7.58,48784,21.1,25.7,2.2,3.8,NA,NA,NA,NA,7.14,3.57,0.17,5.37,-0.198,1.003,4.97,-1.22,1.47,14.66,3.57,14.69,1.87
NA,NA,NA,NA,NA,31.565,347700,1.02,31.665,348750,52.4,NA,NA,NA,NA,7.59,48880,19.7,24.9,1.9,3.6,NA,NA,NA,NA,7.15,3.54,0.23,5.38,-0.182,1.006,4.98,-1.22,1.28,14.67,3.42,14.7,1.93
NA,NA,NA,NA,NA,31.665,348870,1.02,31.765,349920,51.8,NA,NA,NA,NA,7.6,48976,19.9,25.7,2,3.9,NA,NA,NA,NA,7.16,3.47,0.28,5.39,-0.073,1.039,4.99,-1.32,1.54,14.68,3.41,14.71,1.97
NA,NA,NA,NA,NA,31.765,350040,1.08,31.865,351090,51.2,NA,NA,NA,NA,7.61,49073,21,25.6,2.2,3.8,NA,NA,NA,NA,7.17,3.44,0.21,5.4,0.003,0.975,5,-1.23,1.48,14.69,3.62,NA,NA
NA,NA,NA,NA,NA,31.865,351210,0.99,31.965,352260,54.5,NA,NA,NA,NA,7.62,49169,20.3,25.2,2,3.7,NA,NA,NA,NA,7.18,3.49,0.27,5.41,0.025,1.04,5.01,-1.305,1.59,14.7,3.58,NA,NA
NA,NA,NA,NA,NA,31.965,352380,0.93,32.065,353430,54.1,NA,NA,NA,NA,7.63,49265,20.2,25.2,2,3.7,NA,NA,NA,NA,7.19,3.58,0.26,5.42,-0.03,1.027,5.02,-1.25,1.51,14.71,3.36,NA,NA
NA,NA,NA,NA,NA,32.065,353550,0.95,32.165,354610,51.4,NA,NA,NA,NA,7.64,49361,19.4,25.5,1.9,3.8,NA,NA,NA,NA,7.2,3.58,0.26,5.43,0,1.021,5.03,-1.17,1.27,NA,NA,NA,NA
NA,NA,NA,NA,NA,32.165,354730,1,32.265,355790,51.4,NA,NA,NA,NA,7.65,49457,21,25.9,2.2,3.9,NA,NA,NA,NA,7.21,3.54,0.27,5.44,0.032,1.009,5.04,-1.23,1.26,NA,NA,NA,NA
NA,NA,NA,NA,NA,32.265,355910,1.01,32.365,356970,51.2,NA,NA,NA,NA,7.66,49554,20.2,25.5,2,3.8,NA,NA,NA,NA,7.22,3.52,0.22,5.45,0.054,1.105,5.05,-1.41,1.3,NA,NA,NA,NA
NA,NA,NA,NA,NA,32.365,357090,0.94,32.465,358160,49.7,NA,NA,NA,NA,7.67,49650,20,25.1,2,3.6,NA,NA,NA,NA,7.23,3.52,0.31,5.46,0.041,1.06,5.06,-1.22,1.39,NA,NA,NA,NA
NA,NA,NA,NA,NA,32.465,358280,0.87,32.565,359350,48.7,NA,NA,NA,NA,7.68,49746,19.5,25.1,1.9,3.6,NA,NA,NA,NA,7.24,3.23,0.28,5.47,0.009,1.079,5.07,-1.33,1.48,NA,NA,NA,NA
NA,NA,NA,NA,NA,32.565,359470,0.78,32.665,360550,49.6,NA,NA,NA,NA,7.69,49842,21,25.6,2.2,3.8,NA,NA,NA,NA,7.25,3.49,0.24,5.48,0.056,1.043,5.08,-1.27,1.37,NA,NA,NA,NA
NA,NA,NA,NA,NA,32.665,360670,0.97,32.765,361750,49.3,NA,NA,NA,NA,7.7,49939,20.1,25.9,2,3.9,NA,NA,NA,NA,7.26,3.52,0.23,5.49,-0.194,0.995,5.09,-1.4,1.16,NA,NA,NA,NA
NA,NA,NA,NA,NA,32.765,360670,0.95,32.865,362960,48.5,NA,NA,NA,NA,7.71,50035,20.8,25.4,2.1,3.8,NA,NA,NA,NA,7.27,3.49,0.29,5.5,-0.331,0.765,5.1,-1.28,1.27,NA,NA,NA,NA
NA,NA,NA,NA,NA,32.865,363080,0.95,32.96,364100,49.5,NA,NA,NA,NA,7.72,50131,20,25.4,2,3.7,NA,NA,NA,NA,7.28,3.46,0.22,5.51,0.015,0.995,5.11,-1.32,1.32,NA,NA,NA,NA
NA,NA,NA,NA,NA,32.96,364230,0.94,33.06,365320,52,NA,NA,NA,NA,7.73,50228,20.1,25.8,2,3.9,NA,NA,NA,NA,7.29,3.44,0.24,5.52,-0.266,0.91,5.12,-1.28,1.5,NA,NA,NA,NA
NA,NA,NA,NA,NA,33.06,365440,0.96,33.16,366530,53.4,NA,NA,NA,NA,7.74,50324,19.7,25.4,1.9,3.7,NA,NA,NA,NA,7.3,3.44,0.22,5.53,0.001,1.024,5.13,-1.34,1.35,NA,NA,NA,NA
NA,NA,NA,NA,NA,33.16,366650,0.88,33.26,367750,53.1,NA,NA,NA,NA,7.75,50421,22.2,26,2.4,3.9,NA,NA,NA,NA,7.31,3.36,0.23,5.54,-0.207,0.87,5.14,-1.31,1.34,NA,NA,NA,NA
NA,NA,NA,NA,NA,33.26,367870,0.95,33.36,368970,51.7,NA,NA,NA,NA,7.76,50517,20,25.8,2,3.9,NA,NA,NA,NA,7.32,3.51,0.3,5.55,-0.056,1.176,5.15,-1.36,1.49,NA,NA,NA,NA
NA,NA,NA,NA,NA,33.36,369090,0.9,33.46,370200,50.3,NA,NA,NA,NA,7.77,50613,19.5,25.1,1.9,3.6,NA,NA,NA,NA,7.33,3.51,0.25,5.56,-0.141,1.088,5.16,-1.45,1.2,NA,NA,NA,NA
NA,NA,NA,NA,NA,33.46,370320,0.93,33.56,371420,49.9,NA,NA,NA,NA,7.78,50710,20.6,25.6,2.1,3.8,NA,NA,NA,NA,7.34,3.41,0.26,5.57,0.103,1.078,5.17,-1.43,1.43,NA,NA,NA,NA
NA,NA,NA,NA,NA,33.56,371540,1,33.66,372630,49.7,NA,NA,NA,NA,7.79,50806,20.4,25.4,2.1,3.7,NA,NA,NA,NA,7.35,3.38,0.23,5.58,-0.126,0.891,5.18,-1.21,1.19,NA,NA,NA,NA
NA,NA,NA,NA,NA,33.66,372750,0.95,33.76,373830,56.4,NA,NA,NA,NA,7.8,50903,19.2,25,1.8,3.6,NA,NA,NA,NA,7.36,3.32,0.24,5.59,-0.136,0.948,5.19,-1.33,1.43,NA,NA,NA,NA
NA,NA,NA,NA,NA,33.76,373940,NA,33.86,375000,57.5,NA,NA,NA,NA,7.81,51000,20,25.2,2,3.7,NA,NA,NA,NA,7.37,3.31,0.27,5.6,-0.171,1.166,5.2,-1.37,1.37,NA,NA,NA,NA
NA,NA,NA,NA,NA,33.86,375120,NA,33.96,376170,49.8,NA,NA,NA,NA,7.82,51096,20.7,26.2,2.1,4,NA,NA,NA,NA,7.38,3.37,0.28,5.61,-0.066,1.15,5.21,-1.43,1.47,NA,NA,NA,NA
NA,NA,NA,NA,NA,33.96,376280,0.88,34.06,377320,50.8,NA,NA,NA,NA,7.83,51193,20.1,25.2,2,3.7,NA,NA,NA,NA,7.39,3.49,0.16,5.62,-0.088,1.179,5.22,-1.49,1.44,NA,NA,NA,NA
NA,NA,NA,NA,NA,34.06,377440,0.87,34.16,378470,49,NA,NA,NA,NA,7.84,51289,20.6,25.7,2.1,3.9,NA,NA,NA,NA,7.4,3.36,0.29,5.63,-0.273,1.114,5.23,-1.46,1.25,NA,NA,NA,NA
NA,NA,NA,NA,NA,34.16,378580,0.9,34.26,379610,49.4,NA,NA,NA,NA,7.85,51386,19.7,26,1.9,4,NA,NA,NA,NA,7.41,3.29,0.3,5.64,0.022,1.044,5.24,-1.36,1.17,NA,NA,NA,NA
NA,NA,NA,NA,NA,34.26,379730,0.84,34.36,380760,52.8,NA,NA,NA,NA,7.86,51483,20.6,24.9,2.1,3.6,NA,NA,NA,NA,7.42,3.28,0.29,5.65,-0.203,1.114,5.25,-1.33,1.38,NA,NA,NA,NA
NA,NA,NA,NA,NA,34.36,380880,0.92,34.465,381970,40,NA,NA,NA,NA,7.87,51579,21,25.3,2.2,3.7,NA,NA,NA,NA,7.43,3.42,0.37,5.66,-0.244,1.039,5.26,-1.35,1.47,NA,NA,NA,NA
NA,NA,NA,NA,NA,34.465,382090,NA,34.565,383140,46.5,NA,NA,NA,NA,7.88,51676,20.6,25.7,2.1,3.8,NA,NA,NA,NA,7.44,3.42,0.29,5.67,-0.17,1.102,5.27,-1.41,1.45,NA,NA,NA,NA
NA,NA,NA,NA,NA,34.565,383250,0.99,34.665,384310,48,NA,NA,NA,NA,7.89,51773,19.5,25.6,1.9,3.8,NA,NA,NA,NA,7.45,3.34,0.32,5.68,-0.071,1.117,5.28,-1.43,1.55,NA,NA,NA,NA
NA,NA,NA,NA,NA,34.665,384430,0.87,34.765,385510,47.9,NA,NA,NA,NA,7.9,51870,21,24.7,2.2,3.5,NA,NA,NA,NA,7.46,3.54,0.28,5.69,0.022,1.05,5.29,-1.32,1.7,NA,NA,NA,NA
NA,NA,NA,NA,NA,34.765,385630,0.71,34.865,386720,45.2,NA,NA,NA,NA,7.91,51966,20.5,25.8,2.1,3.9,NA,NA,NA,NA,7.47,3.41,0.33,5.7,-0.077,1.164,5.3,-1.39,1.45,NA,NA,NA,NA
NA,NA,NA,NA,NA,34.865,386840,0.72,34.965,387950,47.5,NA,NA,NA,NA,7.92,52063,22.2,25.6,2.4,3.8,NA,NA,NA,NA,7.48,3.51,0.26,5.71,-0.136,1,5.31,-1.28,1.3,NA,NA,NA,NA
NA,NA,NA,NA,NA,34.965,388080,0.75,35.065,389210,46.9,NA,NA,NA,NA,7.93,52160,22.2,26.4,2.4,4.1,NA,NA,NA,NA,7.49,3.43,0.26,5.72,-0.126,1.112,5.32,-1.47,1.51,NA,NA,NA,NA
NA,NA,NA,NA,NA,35.065,389330,0.86,35.165,390480,44.8,NA,NA,NA,NA,7.94,52257,21.6,26.8,2.3,4.2,NA,NA,NA,NA,7.5,3.61,0.23,5.73,-0.162,0.951,5.33,-1.51,1.39,NA,NA,NA,NA
NA,NA,NA,NA,NA,35.165,390610,0.74,35.265,391780,44.4,NA,NA,NA,NA,7.95,52354,20.6,25.1,2.1,3.6,NA,NA,NA,NA,7.51,3.47,0.25,5.74,-0.241,1.049,5.34,-1.27,1.51,NA,NA,NA,NA
NA,NA,NA,NA,NA,35.265,391910,0.77,35.365,393090,44.2,NA,NA,NA,NA,7.96,52450,21.7,26,2.3,3.9,NA,NA,NA,NA,7.52,3.45,0.3,5.75,-0.264,0.992,5.35,-1.37,1.6,NA,NA,NA,NA
NA,NA,NA,NA,NA,35.365,393220,0.84,35.465,394420,41.2,NA,NA,NA,NA,7.97,52547,21.5,25,2.3,3.6,NA,NA,NA,NA,7.53,3.57,0.26,5.76,-0.316,0.943,5.36,-1.35,1.44,NA,NA,NA,NA
NA,NA,NA,NA,NA,35.465,394560,0.93,35.565,395780,42.4,NA,NA,NA,NA,7.98,52644,21.9,25.6,2.4,3.8,NA,NA,NA,NA,7.54,3.57,0.21,5.77,-0.285,1.01,5.37,-1.45,1.41,NA,NA,NA,NA
NA,NA,NA,NA,NA,35.565,395910,0.9,35.665,397140,40.8,NA,NA,NA,NA,7.99,52741,20.3,25.5,2,3.8,NA,NA,NA,NA,7.55,3.52,0.25,5.78,-0.182,1.099,5.38,-1.32,1.49,NA,NA,NA,NA
NA,NA,NA,NA,NA,35.665,397280,0.92,35.765,398530,41.1,NA,NA,NA,NA,8,52838,20.7,25.7,2.1,3.9,NA,NA,NA,NA,7.56,3.6,0.21,5.79,-0.254,0.984,5.39,-1.29,1.45,NA,NA,NA,NA
NA,NA,NA,NA,NA,35.765,398670,0.87,35.865,399920,44.2,NA,NA,NA,NA,8.01,52935,20,26,2,3.9,NA,NA,NA,NA,7.57,3.59,0.23,5.8,-0.147,0.84,5.4,-1.34,1.59,NA,NA,NA,NA
NA,NA,NA,NA,NA,35.865,400060,0.82,35.965,401320,54.5,NA,NA,NA,NA,8.02,53032,19.9,26.1,2,4,NA,NA,NA,NA,7.58,3.56,0.22,5.81,-0.222,0.959,5.41,-1.435,1.46,NA,NA,NA,NA
NA,NA,NA,NA,NA,35.965,401320,0.8,36.065,402730,44.1,NA,NA,NA,NA,8.03,53129,21.6,25.3,2.3,3.7,NA,NA,NA,NA,7.59,3.49,0.26,5.82,-0.265,1.139,5.42,-1.39,1.77,NA,NA,NA,NA
NA,NA,NA,NA,NA,36.065,402730,0.73,36.165,404140,44.8,NA,NA,NA,NA,8.04,53226,20.8,25.7,2.1,3.8,NA,NA,NA,NA,7.6,3.48,0.26,5.83,-0.303,0.991,5.43,-1.35,1.56,NA,NA,NA,NA
NA,NA,NA,NA,NA,36.165,404140,0.69,36.265,405530,49.2,NA,NA,NA,NA,8.05,53323,20.4,24.7,2.1,3.5,NA,NA,NA,NA,7.61,3.51,0.23,5.84,-0.228,1.041,5.44,-1.37,1.34,NA,NA,NA,NA
NA,NA,NA,NA,NA,36.265,405530,0.68,36.365,406930,45.6,NA,NA,NA,NA,8.06,53420,21.2,25.6,2.2,3.8,NA,NA,NA,NA,7.62,3.5,0.26,5.85,-0.422,0.805,5.45,-1.29,1.53,NA,NA,NA,NA
NA,NA,NA,NA,NA,36.365,406930,0.69,36.465,408330,45.8,NA,NA,NA,NA,8.07,53518,20.8,25.3,2.1,3.7,NA,NA,NA,NA,7.63,3.58,0.22,5.86,-0.139,1.067,5.46,-1.32,1.54,NA,NA,NA,NA
NA,NA,NA,NA,NA,36.465,408330,0.75,36.565,409720,43.9,NA,NA,NA,NA,8.08,53615,20.1,25.2,2,3.7,NA,NA,NA,NA,7.64,3.54,0.25,5.87,-0.191,1.124,5.47,-1.47,1.49,NA,NA,NA,NA
NA,NA,NA,NA,NA,36.565,409720,0.72,36.665,411120,44.1,NA,NA,NA,NA,8.09,53712,20.6,25.7,2.1,3.8,NA,NA,NA,NA,7.65,3.51,0.22,5.88,-0.25,0.985,5.48,-1.48,1.49,NA,NA,NA,NA
NA,NA,NA,NA,NA,36.665,411120,0.73,36.765,412510,44.9,NA,NA,NA,NA,8.1,53809,22.8,25.3,2.6,3.7,NA,NA,NA,NA,7.66,3.5,0.27,5.89,-0.158,1.003,5.49,-1.35,1.39,NA,NA,NA,NA
NA,NA,NA,NA,NA,36.765,412510,0.69,36.865,413890,47.4,NA,NA,NA,NA,8.11,53906,21,26.2,2.2,4,NA,NA,NA,NA,7.67,3.4,0.26,5.9,-0.282,1.013,5.5,-1.34,1.36,NA,NA,NA,NA
NA,NA,NA,NA,NA,36.865,413890,0.78,36.965,415230,49.1,NA,NA,NA,NA,8.12,54004,19.9,25.3,2,3.7,NA,NA,NA,NA,7.68,3.62,0.27,5.91,-0.093,1.098,5.51,-1.31,1.5,NA,NA,NA,NA
NA,NA,NA,NA,NA,36.965,415230,0.85,37.065,416580,46.5,NA,NA,NA,NA,8.13,54101,21.6,26.3,2.3,4,NA,NA,NA,NA,7.69,3.55,0.28,5.92,-0.08,1.148,5.52,-1.48,1.51,NA,NA,NA,NA
NA,NA,NA,NA,NA,37.065,416580,0.8,37.165,417950,67.1,NA,NA,NA,NA,8.14,54198,20.1,26.6,2,4.2,NA,NA,NA,NA,7.7,3.64,0.29,5.93,-0.311,1.062,5.53,-1.41,1.53,NA,NA,NA,NA
NA,NA,NA,NA,NA,37.165,417950,NA,37.265,419350,49.4,NA,NA,NA,NA,8.15,54295,20.2,25.5,2,3.8,NA,NA,NA,NA,7.71,3.59,0.35,5.94,-0.303,1.074,5.54,-1.43,1.47,NA,NA,NA,NA
NA,NA,NA,NA,NA,37.265,419350,0.62,37.365,420780,45.1,NA,NA,NA,NA,8.16,54393,21.5,26.2,2.3,4,NA,NA,NA,NA,7.72,3.5,0.19,5.95,-0.298,1.102,5.55,-1.32,1.57,NA,NA,NA,NA
NA,NA,NA,NA,NA,37.365,420780,0.81,37.465,422230,47.4,NA,NA,NA,NA,8.17,54490,20.9,25.3,2.1,3.7,NA,NA,NA,NA,7.73,3.6,0.24,5.96,-0.253,1.032,5.56,-1.36,1.46,NA,NA,NA,NA
NA,NA,NA,NA,NA,37.465,422230,0.83,37.565,423710,46.1,NA,NA,NA,NA,8.18,54587,20.4,25.5,2.1,3.8,NA,NA,NA,NA,7.74,3.51,0.32,5.97,-0.265,1.135,5.57,-1.41,1.51,NA,NA,NA,NA
NA,NA,NA,NA,NA,37.565,423710,0.9,37.665,425190,46.9,NA,NA,NA,NA,8.19,54683,21.2,25.7,2.2,3.9,NA,NA,NA,NA,7.75,3.56,0.16,5.98,-0.317,1.089,5.58,-1.45,1.58,NA,NA,NA,NA
NA,NA,NA,NA,NA,37.665,425190,1.06,37.765,426670,52,NA,NA,NA,NA,8.2,54780,21.4,25.3,2.3,3.7,NA,NA,NA,NA,7.76,3.48,0.25,5.99,-0.206,1.081,5.59,-1.33,1.53,NA,NA,NA,NA
NA,NA,NA,NA,NA,37.765,426670,1.01,37.865,428150,52.8,NA,NA,NA,NA,8.21,54876,20.6,26,2.1,3.9,NA,NA,NA,NA,7.77,3.39,0.24,6,-0.239,1.019,5.6,-1.42,1.7,NA,NA,NA,NA
NA,NA,NA,NA,NA,37.865,428150,1.05,37.965,429600,51.7,NA,NA,NA,NA,8.22,54973,21.5,25.9,2.3,3.9,NA,NA,NA,NA,7.78,3.64,0.23,6.01,-0.203,1.133,5.61,-1.285,1.69,NA,NA,NA,NA
NA,NA,NA,NA,NA,37.965,429600,1.18,38.065,431020,48.7,NA,NA,NA,NA,8.23,55069,20.2,25,2,3.6,NA,NA,NA,NA,7.79,3.71,0.3,6.02,-0.343,0.899,5.62,-1.49,1.67,NA,NA,NA,NA
NA,NA,NA,NA,NA,38.065,431020,1.19,38.165,432410,49.3,NA,NA,NA,NA,8.24,55166,20.8,25.9,2.1,3.9,NA,NA,NA,NA,7.8,3.55,0.26,6.03,-0.186,0.949,5.63,-1.45,1.5,NA,NA,NA,NA
NA,NA,NA,NA,NA,38.165,432410,1.25,38.265,433770,48.5,NA,NA,NA,NA,8.25,55262,21.6,25.4,2.3,3.7,NA,NA,NA,NA,7.81,3.51,0.23,6.04,-0.335,1.108,5.64,-1.33,1.53,NA,NA,NA,NA
NA,NA,NA,NA,NA,38.265,433770,1.32,38.365,435110,50.5,NA,NA,NA,NA,8.26,55359,20.8,25.6,2.1,3.8,NA,NA,NA,NA,7.82,3.5,0.12,6.05,-0.305,0.945,5.65,-1.47,1.35,NA,NA,NA,NA
NA,NA,NA,NA,NA,38.365,435110,1.26,38.465,436440,48.9,NA,NA,NA,NA,8.27,55455,20.8,26.1,2.1,4,NA,NA,NA,NA,7.83,3.58,0.21,6.06,-0.153,0.985,5.66,-1.35,1.67,NA,NA,NA,NA
NA,NA,NA,NA,NA,38.465,436440,1.39,38.565,437760,48.5,NA,NA,NA,NA,8.28,55552,20.4,25.1,2.1,3.6,NA,NA,NA,NA,7.85,3.52,0.25,6.07,-0.253,0.986,5.67,-1.42,1.31,NA,NA,NA,NA
NA,NA,NA,NA,NA,38.565,437760,1.26,38.665,439080,46.7,NA,NA,NA,NA,8.29,55648,20.3,24.9,2,3.6,NA,NA,NA,NA,7.86,3.49,0.27,6.08,-0.253,1.013,5.68,-1.29,1.45,NA,NA,NA,NA
NA,NA,NA,NA,NA,38.665,439080,1.27,38.765,440390,48.1,NA,NA,NA,NA,8.3,55745,20.5,24.8,2.1,3.5,NA,NA,NA,NA,7.87,3.61,0.32,6.09,-0.31,0.95,5.69,-1.35,1.66,NA,NA,NA,NA
NA,NA,NA,NA,NA,38.765,440390,1.22,38.865,441700,48,NA,NA,NA,NA,8.31,55841,21.7,25.4,2.3,3.7,NA,NA,NA,NA,7.88,3.5,0.22,6.1,-0.186,1.033,5.7,-1.32,1.65,NA,NA,NA,NA
NA,NA,NA,NA,NA,38.865,441700,1.21,38.965,443000,50.6,NA,NA,NA,NA,8.32,55938,21.1,26.3,2.2,4,NA,NA,NA,NA,7.89,3.54,0.24,6.11,-0.109,1.073,5.71,-1.38,1.45,NA,NA,NA,NA
NA,NA,NA,NA,NA,38.965,443000,1.24,39.065,444290,50.4,NA,NA,NA,NA,8.33,56035,20.6,24.3,2.1,3.4,NA,NA,NA,NA,7.9,3.5,0.18,6.12,-0.363,0.905,5.72,-1.35,1.42,NA,NA,NA,NA
NA,NA,NA,NA,NA,39.065,444290,1.18,39.165,445580,51.5,NA,NA,NA,NA,8.34,56131,21.4,24.5,2.2,3.4,NA,NA,NA,NA,7.91,3.49,0.28,6.13,-0.423,1.059,5.73,-1.51,1.4,NA,NA,NA,NA
NA,NA,NA,NA,NA,39.165,444290,1.19,39.265,446860,51.3,NA,NA,NA,NA,8.35,56228,20.8,24.8,2.1,3.6,NA,NA,NA,NA,7.92,3.49,0.18,6.15,-0.35,1.137,5.74,-1.52,1.72,NA,NA,NA,NA
NA,NA,NA,NA,NA,39.265,446860,1.22,39.365,448130,50.5,NA,NA,NA,NA,8.36,56324,21.4,25.9,2.3,3.9,NA,NA,NA,NA,7.93,3.51,0.25,6.16,-0.061,1.148,5.75,-1.46,1.56,NA,NA,NA,NA
NA,NA,NA,NA,NA,39.365,448130,1.17,39.465,449390,51.7,NA,NA,NA,NA,8.37,56421,20.7,25.8,2.1,3.9,NA,NA,NA,NA,7.94,3.54,0.22,6.17,-0.277,1.037,5.76,-1.55,1.56,NA,NA,NA,NA
NA,NA,NA,NA,NA,39.465,449390,1.18,39.565,450650,53.4,NA,NA,NA,NA,8.38,56517,20.8,26.1,2.1,4,NA,NA,NA,NA,7.95,3.52,0.15,6.18,-0.24,1.109,5.77,-1.43,1.47,NA,NA,NA,NA
NA,NA,NA,NA,NA,39.565,450650,1.13,39.665,451890,54.1,NA,NA,NA,NA,8.39,56614,20.6,25.4,2.1,3.7,NA,NA,NA,NA,7.96,3.53,0.21,6.19,-0.371,1.123,5.78,-1.41,1.45,NA,NA,NA,NA
NA,NA,NA,NA,NA,39.665,451890,1.21,39.765,453130,56.9,NA,NA,NA,NA,8.4,56710,22.3,24.7,2.4,3.5,NA,NA,NA,NA,7.97,3.39,0.27,6.2,-0.183,0.93,5.79,-1.37,1.49,NA,NA,NA,NA
